zone_id,zone_name,hour,time_period,is_peak_hour,zone_type,ev_count_estimate,traffic_score,existing_chargers,demand_growth_rate,transformer_capacity_kw,base_grid_load_kw,predicted_ev_load_kw,total_load_kw,load_ratio_after_ev,risk_level
Z002,Indiranagar,10,Day,False,residential,6123,85,4,0.284,1597,896.94,402.56,1299.5,0.814,Medium
Z002,Indiranagar,11,Day,False,residential,6123,85,4,0.284,1597,981.82,314.79,1296.61,0.812,Medium
Z002,Indiranagar,12,Day,False,residential,6123,85,4,0.284,1597,865.04,378.28,1243.32,0.779,Medium
Z002,Indiranagar,13,Day,False,residential,6123,85,4,0.284,1597,884.98,309.59,1194.57,0.748,Low
Z002,Indiranagar,14,Day,False,residential,6123,85,4,0.284,1597,880.17,387.14,1267.31,0.794,Medium
Z002,Indiranagar,15,Day,False,residential,6123,85,4,0.284,1597,982.3,327.36,1309.67,0.82,Medium
Z002,Indiranagar,16,Day,False,residential,6123,85,4,0.284,1597,956.83,330.52,1287.35,0.806,Medium
Z002,Indiranagar,17,Evening Peak,True,residential,6123,85,4,0.284,1597,1066.3,694.08,1760.38,1.102,Critical
Z002,Indiranagar,18,Evening Peak,True,residential,6123,85,4,0.284,1597,1050.13,689.6,1739.73,1.089,Critical
Z002,Indiranagar,19,Evening Peak,True,residential,6123,85,4,0.284,1597,1098.64,774.57,1873.22,1.173,Critical
Z002,Indiranagar,20,Evening Peak,True,residential,6123,85,4,0.284,1597,1097.41,798.39,1895.8,1.187,Critical
Z002,Indiranagar,21,Evening Peak,True,residential,6123,85,4,0.284,1597,992.34,976.53,1968.87,1.233,Critical
Z002,Indiranagar,22,Evening Peak,True,residential,6123,85,4,0.284,1597,1135.36,706.14,1841.5,1.153,Critical
Z002,Indiranagar,23,Late Night,False,residential,6123,85,4,0.284,1597,775.01,555.11,1330.13,0.833,Medium
Z003,Koramangala,0,Night,False,mixed,4428,88,0,0.317,1832,889.91,176.58,1066.5,0.582,Low
Z003,Koramangala,1,Night,False,mixed,4428,88,0,0.317,1832,901.19,185.9,1087.09,0.593,Low
Z003,Koramangala,2,Night,False,mixed,4428,88,0,0.317,1832,974.23,233.46,1207.7,0.659,Low
Z003,Koramangala,3,Night,False,mixed,4428,88,0,0.317,1832,909.16,167.92,1077.09,0.588,Low
Z003,Koramangala,4,Night,False,mixed,4428,88,0,0.317,1832,843.96,226.97,1070.94,0.585,Low
Z003,Koramangala,5,Night,False,mixed,4428,88,0,0.317,1832,960.46,172.96,1133.42,0.619,Low
Z003,Koramangala,6,Morning,False,mixed,4428,88,0,0.317,1832,1070.77,295.27,1366.04,0.746,Low
Z003,Koramangala,7,Morning,False,mixed,4428,88,0,0.317,1832,1104.4,388.92,1493.32,0.815,Medium
Z003,Koramangala,8,Morning,False,mixed,4428,88,0,0.317,1832,1091.55,376.36,1467.91,0.801,Medium
Z003,Koramangala,9,Morning,False,mixed,4428,88,0,0.317,1832,1138.85,333.16,1472.01,0.803,Medium
Z003,Koramangala,10,Day,False,mixed,4428,88,0,0.317,1832,1114.84,378.22,1493.06,0.815,Medium
Z003,Koramangala,11,Day,False,mixed,4428,88,0,0.317,1832,1312.68,527.39,1840.07,1.004,Critical
Z003,Koramangala,12,Day,False,mixed,4428,88,0,0.317,1832,1288.4,512.63,1801.03,0.983,High
Z003,Koramangala,13,Day,False,mixed,4428,88,0,0.317,1832,1151.01,502.99,1654.0,0.903,High
Z003,Koramangala,14,Day,False,mixed,4428,88,0,0.317,1832,1164.8,401.28,1566.08,0.855,Medium
Z003,Koramangala,15,Day,False,mixed,4428,88,0,0.317,1832,1138.23,500.85,1639.08,0.895,Medium
Z003,Koramangala,16,Day,False,mixed,4428,88,0,0.317,1832,1104.84,479.56,1584.39,0.865,Medium
Z003,Koramangala,17,Evening Peak,True,mixed,4428,88,0,0.317,1832,1297.6,667.05,1964.65,1.072,Critical
Z003,Koramangala,18,Evening Peak,True,mixed,4428,88,0,0.317,1832,1301.7,587.79,1889.49,1.031,Critical
Z003,Koramangala,19,Evening Peak,True,mixed,4428,88,0,0.317,1832,1487.02,585.05,2072.07,1.131,Critical
Z003,Koramangala,20,Evening Peak,True,mixed,4428,88,0,0.317,1832,1258.08,522.54,1780.62,0.972,High
Z003,Koramangala,21,Evening Peak,True,mixed,4428,88,0,0.317,1832,1416.71,523.13,1939.84,1.059,Critical
Z003,Koramangala,22,Evening Peak,True,mixed,4428,88,0,0.317,1832,1420.68,607.85,2028.53,1.107,Critical
Z003,Koramangala,23,Late Night,False,mixed,4428,88,0,0.317,1832,1040.39,356.01,1396.4,0.762,Medium
Z004,Electronic City,0,Night,False,industrial,3249,82,2,0.359,3166,1240.85,161.55,1402.39,0.443,Low
Z004,Electronic City,1,Night,False,industrial,3249,82,2,0.359,3166,1338.66,169.62,1508.28,0.476,Low
Z004,Electronic City,2,Night,False,industrial,3249,82,2,0.359,3166,1436.02,225.29,1661.31,0.525,Low
Z004,Electronic City,3,Night,False,industrial,3249,82,2,0.359,3166,1532.15,144.85,1677.0,0.53,Low
Z004,Electronic City,4,Night,False,industrial,3249,82,2,0.359,3166,1425.42,144.5,1569.92,0.496,Low
Z004,Electronic City,5,Night,False,industrial,3249,82,2,0.359,3166,1346.56,235.48,1582.05,0.5,Low
Z004,Electronic City,6,Morning,False,industrial,3249,82,2,0.359,3166,1902.17,561.2,2463.37,0.778,Medium
Z004,Electronic City,7,Morning,False,industrial,3249,82,2,0.359,3166,1847.76,406.14,2253.9,0.712,Low
Z004,Electronic City,8,Morning,False,industrial,3249,82,2,0.359,3166,1864.15,542.99,2407.14,0.76,Medium
Z004,Electronic City,9,Morning,False,industrial,3249,82,2,0.359,3166,1754.54,554.18,2308.72,0.729,Low
Z004,Electronic City,10,Day,False,industrial,3249,82,2,0.359,3166,1872.84,487.81,2360.65,0.746,Low
Z004,Electronic City,11,Day,False,industrial,3249,82,2,0.359,3166,1807.8,562.48,2370.27,0.749,Low
Z004,Electronic City,12,Day,False,industrial,3249,82,2,0.359,3166,1818.08,296.01,2114.1,0.668,Low
Z004,Electronic City,13,Day,False,industrial,3249,82,2,0.359,3166,1925.29,341.79,2267.08,0.716,Low
Z004,Electronic City,14,Day,False,industrial,3249,82,2,0.359,3166,1675.93,323.67,1999.6,0.632,Low
Z004,Electronic City,15,Day,False,industrial,3249,82,2,0.359,3166,1954.15,298.0,2252.15,0.711,Low
Z004,Electronic City,16,Day,False,industrial,3249,82,2,0.359,3166,1989.5,407.48,2396.98,0.757,Medium
Z004,Electronic City,17,Evening Peak,True,industrial,3249,82,2,0.359,3166,1983.13,385.95,2369.08,0.748,Low
Z004,Electronic City,18,Evening Peak,True,industrial,3249,82,2,0.359,3166,1947.08,396.42,2343.5,0.74,Low
Z004,Electronic City,19,Evening Peak,True,industrial,3249,82,2,0.359,3166,2143.7,493.21,2636.91,0.833,Medium
Z004,Electronic City,20,Evening Peak,True,industrial,3249,82,2,0.359,3166,2043.45,495.01,2538.47,0.802,Medium
Z004,Electronic City,21,Evening Peak,True,industrial,3249,82,2,0.359,3166,2239.12,169.81,2408.92,0.761,Medium
Z004,Electronic City,22,Evening Peak,True,industrial,3249,82,2,0.359,3166,2013.64,198.24,2211.88,0.699,Low
Z004,Electronic City,23,Late Night,False,industrial,3249,82,2,0.359,3166,1490.83,174.7,1665.52,0.526,Low
Z005,MG Road,0,Night,False,commercial,3921,92,2,0.19,2000,1104.2,104.19,1208.39,0.604,Low
Z005,MG Road,1,Night,False,commercial,3921,92,2,0.19,2000,966.15,154.74,1120.9,0.56,Low
Z005,MG Road,2,Night,False,commercial,3921,92,2,0.19,2000,1197.78,171.33,1369.11,0.685,Low
Z005,MG Road,3,Night,False,commercial,3921,92,2,0.19,2000,1185.62,154.73,1340.36,0.67,Low
Z005,MG Road,4,Night,False,commercial,3921,92,2,0.19,2000,1178.88,102.92,1281.81,0.641,Low
Z005,MG Road,5,Night,False,commercial,3921,92,2,0.19,2000,1101.41,157.2,1258.62,0.629,Low
Z005,MG Road,6,Morning,False,commercial,3921,92,2,0.19,2000,1356.23,280.57,1636.8,0.818,Medium
Z005,MG Road,7,Morning,False,commercial,3921,92,2,0.19,2000,1284.45,271.41,1555.85,0.778,Medium
Z005,MG Road,8,Morning,False,commercial,3921,92,2,0.19,2000,1311.6,259.64,1571.24,0.786,Medium
Z005,MG Road,9,Morning,False,commercial,3921,92,2,0.19,2000,1339.38,271.57,1610.95,0.805,Medium
Z005,MG Road,10,Day,False,commercial,3921,92,2,0.19,2000,1403.57,668.49,2072.05,1.036,Critical
Z005,MG Road,11,Day,False,commercial,3921,92,2,0.19,2000,1457.41,513.11,1970.53,0.985,High
Z005,MG Road,12,Day,False,commercial,3921,92,2,0.19,2000,1564.99,597.95,2162.94,1.081,Critical
Z005,MG Road,13,Day,False,commercial,3921,92,2,0.19,2000,1472.57,556.08,2028.65,1.014,Critical
Z005,MG Road,14,Day,False,commercial,3921,92,2,0.19,2000,1531.73,497.77,2029.5,1.015,Critical
Z005,MG Road,15,Day,False,commercial,3921,92,2,0.19,2000,1568.55,478.53,2047.08,1.024,Critical
Z005,MG Road,16,Day,False,commercial,3921,92,2,0.19,2000,1344.53,558.7,1903.23,0.952,High
Z005,MG Road,17,Evening Peak,True,commercial,3921,92,2,0.19,2000,1810.01,500.46,2310.47,1.155,Critical
Z005,MG Road,18,Evening Peak,True,commercial,3921,92,2,0.19,2000,1770.49,377.84,2148.33,1.074,Critical
Z005,MG Road,19,Evening Peak,True,commercial,3921,92,2,0.19,2000,1768.8,395.03,2163.84,1.082,Critical
Z005,MG Road,20,Evening Peak,True,commercial,3921,92,2,0.19,2000,1708.81,307.91,2016.71,1.008,Critical
Z005,MG Road,21,Evening Peak,True,commercial,3921,92,2,0.19,2000,1586.27,364.46,1950.73,0.975,High
Z005,MG Road,22,Evening Peak,True,commercial,3921,92,2,0.19,2000,1672.5,192.63,1865.12,0.933,High
Z005,MG Road,23,Late Night,False,commercial,3921,92,2,0.19,2000,1272.64,185.86,1458.51,0.729,Low
Z006,Jayanagar,0,Night,False,residential,5653,75,7,0.23,1234,633.88,216.95,850.82,0.689,Low
Z006,Jayanagar,1,Night,False,residential,5653,75,7,0.23,1234,506.0,287.96,793.95,0.643,Low
Z006,Jayanagar,2,Night,False,residential,5653,75,7,0.23,1234,610.09,286.32,896.41,0.726,Low
Z006,Jayanagar,3,Night,False,residential,5653,75,7,0.23,1234,628.89,294.31,923.2,0.748,Low
Z006,Jayanagar,4,Night,False,residential,5653,75,7,0.23,1234,547.91,239.87,787.79,0.638,Low
Z006,Jayanagar,5,Night,False,residential,5653,75,7,0.23,1234,515.1,320.92,836.03,0.677,Low
Z006,Jayanagar,6,Morning,False,residential,5653,75,7,0.23,1234,702.41,379.81,1082.22,0.877,Medium
Z006,Jayanagar,7,Morning,False,residential,5653,75,7,0.23,1234,786.22,382.15,1168.37,0.947,High
Z006,Jayanagar,8,Morning,False,residential,5653,75,7,0.23,1234,701.36,418.62,1119.98,0.908,High
Z006,Jayanagar,9,Morning,False,residential,5653,75,7,0.23,1234,788.5,319.59,1108.09,0.898,Medium
Z006,Jayanagar,10,Day,False,residential,5653,75,7,0.23,1234,778.78,270.35,1049.13,0.85,Medium
Z006,Jayanagar,11,Day,False,residential,5653,75,7,0.23,1234,786.21,253.03,1039.24,0.842,Medium
Z006,Jayanagar,12,Day,False,residential,5653,75,7,0.23,1234,807.33,286.06,1093.39,0.886,Medium
Z006,Jayanagar,13,Day,False,residential,5653,75,7,0.23,1234,749.25,303.8,1053.06,0.853,Medium
Z006,Jayanagar,14,Day,False,residential,5653,75,7,0.23,1234,800.64,282.93,1083.58,0.878,Medium
Z006,Jayanagar,15,Day,False,residential,5653,75,7,0.23,1234,815.49,298.6,1114.08,0.903,High
Z006,Jayanagar,16,Day,False,residential,5653,75,7,0.23,1234,698.33,377.63,1075.97,0.872,Medium
Z006,Jayanagar,17,Evening Peak,True,residential,5653,75,7,0.23,1234,894.46,702.87,1597.32,1.294,Critical
Z006,Jayanagar,18,Evening Peak,True,residential,5653,75,7,0.23,1234,800.3,680.18,1480.48,1.2,Critical
Z006,Jayanagar,19,Evening Peak,True,residential,5653,75,7,0.23,1234,913.66,737.15,1650.81,1.338,Critical
Z006,Jayanagar,20,Evening Peak,True,residential,5653,75,7,0.23,1234,895.39,611.64,1507.03,1.221,Critical
Z006,Jayanagar,21,Evening Peak,True,residential,5653,75,7,0.23,1234,803.73,851.02,1654.75,1.341,Critical
Z006,Jayanagar,22,Evening Peak,True,residential,5653,75,7,0.23,1234,832.06,839.99,1672.05,1.355,Critical
Z006,Jayanagar,23,Late Night,False,residential,5653,75,7,0.23,1234,659.57,535.23,1194.8,0.968,High
Z007,Hebbal,0,Night,False,mixed,6348,95,1,0.299,1741,840.16,276.15,1116.31,0.641,Low
Z007,Hebbal,1,Night,False,mixed,6348,95,1,0.299,1741,734.54,204.06,938.6,0.539,Low
Z007,Hebbal,2,Night,False,mixed,6348,95,1,0.299,1741,850.18,279.36,1129.53,0.649,Low
Z007,Hebbal,3,Night,False,mixed,6348,95,1,0.299,1741,724.63,269.44,994.07,0.571,Low
Z007,Hebbal,4,Night,False,mixed,6348,95,1,0.299,1741,749.22,294.42,1043.64,0.599,Low
Z007,Hebbal,5,Night,False,mixed,6348,95,1,0.299,1741,821.74,198.01,1019.75,0.586,Low
Z007,Hebbal,6,Morning,False,mixed,6348,95,1,0.299,1741,913.41,479.1,1392.51,0.8,Medium
Z007,Hebbal,7,Morning,False,mixed,6348,95,1,0.299,1741,941.24,352.24,1293.48,0.743,Low
Z007,Hebbal,8,Morning,False,mixed,6348,95,1,0.299,1741,1112.95,428.19,1541.14,0.885,Medium
Z007,Hebbal,9,Morning,False,mixed,6348,95,1,0.299,1741,1039.83,408.02,1447.85,0.832,Medium
Z007,Hebbal,10,Day,False,mixed,6348,95,1,0.299,1741,1158.91,522.1,1681.01,0.966,High
Z007,Hebbal,11,Day,False,mixed,6348,95,1,0.299,1741,1106.51,615.29,1721.8,0.989,High
Z007,Hebbal,12,Day,False,mixed,6348,95,1,0.299,1741,989.19,549.07,1538.26,0.884,Medium
Z007,Hebbal,13,Day,False,mixed,6348,95,1,0.299,1741,1058.5,460.02,1518.53,0.872,Medium
Z007,Hebbal,14,Day,False,mixed,6348,95,1,0.299,1741,1016.77,512.78,1529.56,0.879,Medium
Z007,Hebbal,15,Day,False,mixed,6348,95,1,0.299,1741,1087.62,573.13,1660.75,0.954,High
Z007,Hebbal,16,Day,False,mixed,6348,95,1,0.299,1741,1044.59,506.84,1551.43,0.891,Medium
Z007,Hebbal,17,Evening Peak,True,mixed,6348,95,1,0.299,1741,1184.67,610.74,1795.4,1.031,Critical
Z007,Hebbal,18,Evening Peak,True,mixed,6348,95,1,0.299,1741,1218.1,678.93,1897.03,1.09,Critical
Z007,Hebbal,19,Evening Peak,True,mixed,6348,95,1,0.299,1741,1237.6,827.6,2065.2,1.186,Critical
Z007,Hebbal,20,Evening Peak,True,mixed,6348,95,1,0.299,1741,1256.04,724.97,1981.01,1.138,Critical
Z007,Hebbal,21,Evening Peak,True,mixed,6348,95,1,0.299,1741,1234.06,744.8,1978.86,1.137,Critical
Z007,Hebbal,22,Evening Peak,True,mixed,6348,95,1,0.299,1741,1193.95,779.73,1973.67,1.134,Critical
Z007,Hebbal,23,Late Night,False,mixed,6348,95,1,0.299,1741,939.47,450.5,1389.97,0.798,Medium
Z008,Yelahanka,0,Night,False,residential,5700,70,7,0.132,1104,512.76,277.88,790.64,0.716,Low
Z008,Yelahanka,1,Night,False,residential,5700,70,7,0.132,1104,555.88,239.22,795.1,0.72,Low
Z008,Yelahanka,2,Night,False,residential,5700,70,7,0.132,1104,451.8,272.73,724.53,0.656,Low
Z008,Yelahanka,3,Night,False,residential,5700,70,7,0.132,1104,480.16,224.48,704.65,0.638,Low
Z008,Yelahanka,4,Night,False,residential,5700,70,7,0.132,1104,484.69,261.15,745.84,0.676,Low
Z008,Yelahanka,5,Night,False,residential,5700,70,7,0.132,1104,554.5,286.01,840.51,0.761,Medium
Z008,Yelahanka,6,Morning,False,residential,5700,70,7,0.132,1104,598.89,318.87,917.76,0.831,Medium
Z008,Yelahanka,7,Morning,False,residential,5700,70,7,0.132,1104,627.63,397.57,1025.2,0.929,High
Z008,Yelahanka,8,Morning,False,residential,5700,70,7,0.132,1104,683.01,311.16,994.17,0.901,High
Z008,Yelahanka,9,Morning,False,residential,5700,70,7,0.132,1104,673.94,317.8,991.74,0.898,Medium
Z008,Yelahanka,10,Day,False,residential,5700,70,7,0.132,1104,613.46,257.64,871.09,0.789,Medium
Z008,Yelahanka,11,Day,False,residential,5700,70,7,0.132,1104,634.27,263.01,897.28,0.813,Medium
Z008,Yelahanka,12,Day,False,residential,5700,70,7,0.132,1104,746.52,307.09,1053.61,0.954,High
Z008,Yelahanka,13,Day,False,residential,5700,70,7,0.132,1104,746.68,247.86,994.55,0.901,High
Z008,Yelahanka,14,Day,False,residential,5700,70,7,0.132,1104,665.39,250.81,916.2,0.83,Medium
Z008,Yelahanka,15,Day,False,residential,5700,70,7,0.132,1104,670.99,272.2,943.19,0.854,Medium
Z008,Yelahanka,16,Day,False,residential,5700,70,7,0.132,1104,636.61,312.89,949.49,0.86,Medium
Z008,Yelahanka,17,Evening Peak,True,residential,5700,70,7,0.132,1104,745.67,672.62,1418.29,1.285,Critical
Z008,Yelahanka,18,Evening Peak,True,residential,5700,70,7,0.132,1104,793.76,689.08,1482.83,1.343,Critical
Z008,Yelahanka,19,Evening Peak,True,residential,5700,70,7,0.132,1104,747.14,837.01,1584.14,1.435,Critical
Z008,Yelahanka,20,Evening Peak,True,residential,5700,70,7,0.132,1104,802.28,801.77,1604.06,1.453,Critical
Z008,Yelahanka,21,Evening Peak,True,residential,5700,70,7,0.132,1104,721.9,697.12,1419.02,1.285,Critical
Z008,Yelahanka,22,Evening Peak,True,residential,5700,70,7,0.132,1104,760.03,820.91,1580.95,1.432,Critical
Z008,Yelahanka,23,Late Night,False,residential,5700,70,7,0.132,1104,588.4,470.73,1059.13,0.959,High
Z009,BTM Layout,0,Night,False,residential,4896,80,3,0.109,1048,454.22,237.66,691.88,0.66,Low
Z009,BTM Layout,1,Night,False,residential,4896,80,3,0.109,1048,392.09,220.04,612.13,0.584,Low
Z009,BTM Layout,2,Night,False,residential,4896,80,3,0.109,1048,366.36,220.94,587.31,0.56,Low
Z009,BTM Layout,3,Night,False,residential,4896,80,3,0.109,1048,423.79,185.06,608.85,0.581,Low
Z009,BTM Layout,4,Night,False,residential,4896,80,3,0.109,1048,375.82,184.17,560.0,0.534,Low
Z009,BTM Layout,5,Night,False,residential,4896,80,3,0.109,1048,403.84,203.72,607.56,0.58,Low
Z009,BTM Layout,6,Morning,False,residential,4896,80,3,0.109,1048,464.9,267.84,732.74,0.699,Low
Z009,BTM Layout,7,Morning,False,residential,4896,80,3,0.109,1048,533.31,332.24,865.54,0.826,Medium
Z009,BTM Layout,8,Morning,False,residential,4896,80,3,0.109,1048,516.24,322.31,838.56,0.8,Medium
Z009,BTM Layout,9,Morning,False,residential,4896,80,3,0.109,1048,542.8,337.2,880.0,0.84,Medium
Z009,BTM Layout,10,Day,False,residential,4896,80,3,0.109,1048,586.05,220.71,806.76,0.77,Medium
Z009,BTM Layout,11,Day,False,residential,4896,80,3,0.109,1048,539.46,260.63,800.08,0.763,Medium
Z009,BTM Layout,12,Day,False,residential,4896,80,3,0.109,1048,597.3,288.1,885.4,0.845,Medium
Z009,BTM Layout,13,Day,False,residential,4896,80,3,0.109,1048,571.53,268.69,840.22,0.802,Medium
Z009,BTM Layout,14,Day,False,residential,4896,80,3,0.109,1048,504.93,214.82,719.75,0.687,Low
Z009,BTM Layout,15,Day,False,residential,4896,80,3,0.109,1048,544.88,294.89,839.76,0.801,Medium
Z009,BTM Layout,16,Day,False,residential,4896,80,3,0.109,1048,598.19,251.4,849.58,0.811,Medium
Z009,BTM Layout,17,Evening Peak,True,residential,4896,80,3,0.109,1048,582.56,672.38,1254.95,1.197,Critical
Z009,BTM Layout,18,Evening Peak,True,residential,4896,80,3,0.109,1048,674.28,667.98,1342.26,1.281,Critical
Z009,BTM Layout,19,Evening Peak,True,residential,4896,80,3,0.109,1048,614.0,501.85,1115.85,1.065,Critical
Z009,BTM Layout,20,Evening Peak,True,residential,4896,80,3,0.109,1048,647.04,708.4,1355.45,1.293,Critical
Z009,BTM Layout,21,Evening Peak,True,residential,4896,80,3,0.109,1048,667.81,717.17,1384.98,1.322,Critical
Z009,BTM Layout,22,Evening Peak,True,residential,4896,80,3,0.109,1048,578.65,580.87,1159.52,1.106,Critical
Z009,BTM Layout,23,Late Night,False,residential,4896,80,3,0.109,1048,479.78,329.94,809.72,0.773,Medium
Z010,Rajajinagar,0,Night,False,mixed,6243,78,4,0.188,2110,1124.78,174.39,1299.16,0.616,Low
Z010,Rajajinagar,1,Night,False,mixed,6243,78,4,0.188,2110,1187.31,242.33,1429.64,0.678,Low
Z010,Rajajinagar,2,Night,False,mixed,6243,78,4,0.188,2110,1175.04,223.05,1398.08,0.663,Low
Z010,Rajajinagar,3,Night,False,mixed,6243,78,4,0.188,2110,1016.42,238.18,1254.6,0.595,Low
Z010,Rajajinagar,4,Night,False,mixed,6243,78,4,0.188,2110,1009.51,264.54,1274.05,0.604,Low
Z010,Rajajinagar,5,Night,False,mixed,6243,78,4,0.188,2110,955.09,218.61,1173.7,0.556,Low
Z010,Rajajinagar,6,Morning,False,mixed,6243,78,4,0.188,2110,1448.45,430.94,1879.39,0.891,Medium
Z010,Rajajinagar,7,Morning,False,mixed,6243,78,4,0.188,2110,1334.03,346.25,1680.28,0.796,Medium
Z010,Rajajinagar,8,Morning,False,mixed,6243,78,4,0.188,2110,1502.91,413.06,1915.97,0.908,High
Z010,Rajajinagar,9,Morning,False,mixed,6243,78,4,0.188,2110,1329.57,432.68,1762.25,0.835,Medium
Z010,Rajajinagar,10,Day,False,mixed,6243,78,4,0.188,2110,1327.28,459.69,1786.97,0.847,Medium
Z010,Rajajinagar,11,Day,False,mixed,6243,78,4,0.188,2110,1346.65,423.89,1770.54,0.839,Medium
Z010,Rajajinagar,12,Day,False,mixed,6243,78,4,0.188,2110,1470.53,477.92,1948.45,0.923,High
Z010,Rajajinagar,13,Day,False,mixed,6243,78,4,0.188,2110,1563.52,556.52,2120.04,1.005,Critical
Z010,Rajajinagar,14,Day,False,mixed,6243,78,4,0.188,2110,1370.29,559.11,1929.4,0.914,High
Z010,Rajajinagar,15,Day,False,mixed,6243,78,4,0.188,2110,1381.98,583.03,1965.01,0.931,High
Z010,Rajajinagar,16,Day,False,mixed,6243,78,4,0.188,2110,1501.4,536.03,2037.43,0.966,High
Z010,Rajajinagar,17,Evening Peak,True,mixed,6243,78,4,0.188,2110,1589.34,608.96,2198.3,1.042,Critical
Z010,Rajajinagar,18,Evening Peak,True,mixed,6243,78,4,0.188,2110,1548.12,771.62,2319.74,1.099,Critical
Z010,Rajajinagar,19,Evening Peak,True,mixed,6243,78,4,0.188,2110,1664.41,799.52,2463.93,1.168,Critical
Z010,Rajajinagar,20,Evening Peak,True,mixed,6243,78,4,0.188,2110,1629.15,729.9,2359.06,1.118,Critical
Z010,Rajajinagar,21,Evening Peak,True,mixed,6243,78,4,0.188,2110,1696.8,817.67,2514.47,1.192,Critical
Z010,Rajajinagar,22,Evening Peak,True,mixed,6243,78,4,0.188,2110,1729.17,612.83,2341.99,1.11,Critical
Z010,Rajajinagar,23,Late Night,False,mixed,6243,78,4,0.188,2110,1095.89,405.66,1501.55,0.712,Low
Z011,Marathahalli,0,Night,False,mixed,5029,94,0,0.315,2112,942.94,200.88,1143.82,0.542,Low
