sl_no,charger_code,station_name,charger_model,area,source_page,raw_text,parse_status
25,BESKAT002,BESCOM Katriguppe,CCSCHADEMOCOMBO,Unknown,1,25 BESKAT002 BESCOM Katriguppe CCSCHADEMOCOMBO,parsed
26,BESMAT002,BESCOM Mathikere,CCSCHADEMOCOMBO,Unknown,1,26 BESMAT002 BESCOM Mathikere CCSCHADEMOCOMBO,parsed
27,BESMUR002,BESCOM Murugeshpalya,CCSCHADEMOCOMBO,Unknown,1,27 BESMUR002 BESCOM Murugeshpalya CCSCHADEMOCOMBO,parsed
28,BESKABLRAC00021,BESCOM HSR Layout,IECAC10KW,HSR Layout,1,28 BESKABLRAC00021 BESCOM HSR Layout IECAC10KW,parsed
29,BESKABLRAC00013,BESCOM Banaswadi,IECAC10KW,Unknown,1,29 BESKABLRAC00013 BESCOM Banaswadi IECAC10KW,parsed
30,BESKABLRAC00040,BBMP Horamavu Office,IECAC10KW,Unknown,1,30 BESKABLRAC00040 BBMP Horamavu Office IECAC10KW,parsed
31,BESKABLRAC00056,TTMC Yeshawanthapura,IECAC10KW,Unknown,1,31 BESKABLRAC00056 TTMC Yeshawanthapura IECAC10KW,parsed
32,BESKABLRAC00010,BESCOM Peenya,IECAC10KW,Peenya,1,32 BESKABLRAC00010 BESCOM Peenya IECAC10KW,parsed
33,BESKABLRAC00060,BESCOM - Peenya SRS O&M,IECAC10KW,Peenya,1,33 BESKABLRAC00060 BESCOM - Peenya SRS O&M IECAC10KW,parsed
34,BESKABLRAC00053,N9 - Soladevanahalli Bagalagunte O&M,IECAC10KW,Unknown,1,34 BESKABLRAC00053 N9 - Soladevanahalli Bagalagunte O&M IECAC10KW,parsed
35,BESKABLRAC00008,BESCOM Mahadevpura,IECAC10KW,Mahadevpura,1,35 BESKABLRAC00008 BESCOM Mahadevpura IECAC10KW,parsed
36,BESKABLRAC00035,BBMP Gottigere Ward 194 office,IECAC10KW,Unknown,1,36 BESKABLRAC00035 BBMP Gottigere Ward 194 office IECAC10KW,parsed
37,BESKABLRAC00011,BESCOM Mathikere,IECAC10KW,Unknown,2,37 BESKABLRAC00011 BESCOM Mathikere IECAC10KW,parsed
38,BESKABLRAC00030,RTO Kasthuri Nagar office,IECAC10KW,Unknown,2,38 BESKABLRAC00030 RTO Kasthuri Nagar office IECAC10KW,parsed
39,BESKABLRAC00031,RTO Kasthuri Nagar office,IECAC10KW,Unknown,2,39 BESKABLRAC00031 RTO Kasthuri Nagar office IECAC10KW,parsed
40,BESKABLRAC00097,RTO K R Puram Office,IECAC10KW,KR Puram,2,40 BESKABLRAC00097 RTO K R Puram Office IECAC10KW,parsed
41,BESKABLRAC00066,RTO Electronic City,IECAC10KW,Electronic City,2,41 BESKABLRAC00066 RTO Electronic City IECAC10KW,parsed
42,BESKABLRAC00065,RTO Electronic City,IECAC10KW,Electronic City,2,42 BESKABLRAC00065 RTO Electronic City IECAC10KW,parsed
43,BESKABLRAC00083,BESCOM - Kaggalipura SDO,IECAC10KW,Unknown,2,43 BESKABLRAC00083 BESCOM - Kaggalipura SDO IECAC10KW,parsed
44,BESKABLRAC00089,TTMC Vijayanagar,IECAC10KW,Jayanagar,2,44 BESKABLRAC00089 TTMC Vijayanagar IECAC10KW,parsed
45,BESKABLRAC00094,KSRTC Mysore Road Satellite,IECAC10KW,Unknown,2,45 BESKABLRAC00094 KSRTC Mysore Road Satellite IECAC10KW,parsed
46,BESKABLRAC00082,BESCOM - Kaggalipura SDO,IECAC10KW,Unknown,2,46 BESKABLRAC00082 BESCOM - Kaggalipura SDO IECAC10KW,parsed
47,BESKABLRAC00091,BDA Nagarabhavi,IECAC10KW,Unknown,2,47 BESKABLRAC00091 BDA Nagarabhavi IECAC10KW,parsed
48,BESKABLRAC00044,BBMP Mahadevapura Office,IECAC10KW,Mahadevpura,2,48 BESKABLRAC00044 BBMP Mahadevapura Office IECAC10KW,parsed
49,BESKABLRAC00052,BESCOM -Vidyaranyapura SDO,IECAC10KW,Unknown,2,49 BESKABLRAC00052 BESCOM -Vidyaranyapura SDO IECAC10KW,parsed
50,BESKABLRAC00075,BBMP Corporation office,IECAC10KW,Unknown,2,50 BESKABLRAC00075 BBMP Corporation office IECAC10KW,parsed
51,BESKABLRAC00077,TTMC Shantinagar,IECAC10KW,Unknown,2,51 BESKABLRAC00077 TTMC Shantinagar IECAC10KW,parsed
52,BESKABLRAC00076,TTMC Shantinagar,IECAC10KW,Unknown,2,52 BESKABLRAC00076 TTMC Shantinagar IECAC10KW,parsed
53,BESKABLRAC00063,Jigani KIADB,IECAC10KW,Unknown,2,53 BESKABLRAC00063 Jigani KIADB IECAC10KW,parsed
54,BESKABLRAC00026,BESCOM - Hosakote SDO,IECAC10KW,Unknown,2,54 BESKABLRAC00026 BESCOM - Hosakote SDO IECAC10KW,parsed
55,BESKABLRAC00064,BBMP Gottigere Ward 194 office,IECAC10KW,Unknown,2,55 BESKABLRAC00064 BBMP Gottigere Ward 194 office IECAC10KW,parsed
56,BESKABLRAC00098,RTO K R Puram Office,IECAC10KW,KR Puram,2,56 BESKABLRAC00098 RTO K R Puram Office IECAC10KW,parsed
57,BESKABLRAC00070,BBMP Jayanagar office,IECAC10KW,Jayanagar,2,57 BESKABLRAC00070 BBMP Jayanagar office IECAC10KW,parsed
58,BESKABLRAC00051,BESCOM Jalahalli SDO,IECAC10KW,Unknown,2,58 BESKABLRAC00051 BESCOM Jalahalli SDO IECAC10KW,parsed
59,BESKABLRAC00047,RTO Yelahanka,IECAC10KW,Yelahanka,2,59 BESKABLRAC00047 RTO Yelahanka IECAC10KW,parsed
60,BESKABLRAC00048,RTO Yelahanka,IECAC10KW,Yelahanka,2,60 BESKABLRAC00048 RTO Yelahanka IECAC10KW,parsed
61,BESKABLRAC00054,TTMC Yeshawanthapura,IECAC10KW,Unknown,2,61 BESKABLRAC00054 TTMC Yeshawanthapura IECAC10KW,parsed
62,BESKABLRAC00055,TTMC Yeshawanthapura,IECAC10KW,Unknown,2,62 BESKABLRAC00055 TTMC Yeshawanthapura IECAC10KW,parsed
63,BESKABLRAC00049,BBMP Shakara nagara Office,IECAC10KW,Unknown,2,63 BESKABLRAC00049 BBMP Shakara nagara Office IECAC10KW,parsed
64,BESKABLRAC00050,BBMP Shakara nagara Office,IECAC10KW,Unknown,2,64 BESKABLRAC00050 BBMP Shakara nagara Office IECAC10KW,parsed
65,BESKABLRAC00012,BESCOM Yalhanka,IECAC10KW,Yelahanka,2,65 BESKABLRAC00012 BESCOM Yalhanka IECAC10KW,parsed
66,BESKABLRAC00080,Kengeri TTMC,IECAC10KW,Kengeri,2,66 BESKABLRAC00080 Kengeri TTMC IECAC10KW,parsed
67,BESKABLRAC00081,Kengeri TTMC,IECAC10KW,Kengeri,2,67 BESKABLRAC00081 Kengeri TTMC IECAC10KW,parsed
68,BESKABLRAC00078,BESCOM ISRO Layout,IECAC10KW,Unknown,2,68 BESKABLRAC00078 BESCOM ISRO Layout IECAC10KW,parsed
69,BESKABLRAC00079,BDA Banashankari,IECAC10KW,Banashankari,2,69 BESKABLRAC00079 BDA Banashankari IECAC10KW,parsed
70,BESKABLRAC00088,TTMC Vijayanagar,IECAC10KW,Jayanagar,2,70 BESKABLRAC00088 TTMC Vijayanagar IECAC10KW,parsed
71,BESKABLRAC00023,BESCOM Chandapura SDO,IECAC10KW,Unknown,2,71 BESKABLRAC00023 BESCOM Chandapura SDO IECAC10KW,parsed
72,BESKABLRAC00024,BESCOM Chandapura SDO,IECAC10KW,Unknown,2,72 BESKABLRAC00024 BESCOM Chandapura SDO IECAC10KW,parsed
73,BESKABLRAC00009,BESCOM BTM layout,IECAC10KW,BTM Layout,2,73 BESKABLRAC00009 BESCOM BTM layout IECAC10KW,parsed
74,BESKABLRAC00067,BBMP Doddakanneli Office,IECAC10KW,Unknown,2,74 BESKABLRAC00067 BBMP Doddakanneli Office IECAC10KW,parsed
75,BESKABLRAC00059,KSRTC Peenya,IECAC10KW,Peenya,2,75 BESKABLRAC00059 KSRTC Peenya IECAC10KW,parsed
76,BESKABLRAC00029,BBMP Vignana Nagar,IECAC10KW,Unknown,3,76 BESKABLRAC00029 BBMP Vignana Nagar IECAC10KW,parsed
77,BESKABLRAC00018,BESCOM Tannery Road SDO,IECAC10KW,Unknown,3,77 BESKABLRAC00018 BESCOM Tannery Road SDO IECAC10KW,parsed
78,BESKABLRAC00001,BESCOM Lingarajapuram,IECAC10KW,Unknown,3,78 BESKABLRAC00001 BESCOM Lingarajapuram IECAC10KW,parsed
79,BESKABLRAC00033,TTMC Domlur,IECAC10KW,Unknown,3,79 BESKABLRAC00033 TTMC Domlur IECAC10KW,parsed
80,BESKABLRAC00034,TTMC Domlur,IECAC10KW,Unknown,3,80 BESKABLRAC00034 TTMC Domlur IECAC10KW,parsed
81,BESKABLRAC00002,BESCOM Indiranagar,IECAC10KW,Indiranagar,3,81 BESKABLRAC00002 BESCOM Indiranagar IECAC10KW,parsed
82,BESKABLRAC00003,BESCOM Murugeshpalya,IECAC10KW,Unknown,3,82 BESKABLRAC00003 BESCOM Murugeshpalya IECAC10KW,parsed
83,BESKABLRAC00014,BESCOM Papareddy Palya (O&M Office),IECAC10KW,Unknown,3,83 BESKABLRAC00014 BESCOM Papareddy Palya (O&M Office) IECAC10KW,parsed
84,BESKABLRAC00073,BBMP Corporation office,IECAC10KW,Unknown,3,84 BESKABLRAC00073 BBMP Corporation office IECAC10KW,parsed
85,BESKABLRAC00074,BBMP Corporation office,IECAC10KW,Unknown,3,85 BESKABLRAC00074 BBMP Corporation office IECAC10KW,parsed
86,BESKABLRAC00093,KSRTC Mysore Road Satellite,IECAC10KW,Unknown,3,86 BESKABLRAC00093 KSRTC Mysore Road Satellite IECAC10KW,parsed
87,BESKABLRAC00006,BESCOM Byatarayanapura,IECAC10KW,Unknown,3,87 BESKABLRAC00006 BESCOM Byatarayanapura IECAC10KW,parsed
88,BESKABLRAC00005,BESCOM Byatarayanapura,IECAC10KW,Unknown,3,88 BESKABLRAC00005 BESCOM Byatarayanapura IECAC10KW,parsed
89,BESKABLRAC00007,BESCOM -Mallathalli O&M,IECAC10KW,Unknown,3,89 BESKABLRAC00007 BESCOM -Mallathalli O&M IECAC10KW,parsed
90,BESKABLRAC00068,BBMP Doddakanneli Office,IECAC10KW,Unknown,3,90 BESKABLRAC00068 BBMP Doddakanneli Office IECAC10KW,parsed
91,BESKABLRAC00016,BESCOM Shankarapuram O&M Office (W2 SDO),IECAC10KW,Unknown,3,91 BESKABLRAC00016 BESCOM Shankarapuram O&M Office (W2 SDO) IECAC10KW,parsed
92,BESKABLRAC00062,Jigani KIADB,IECAC10KW,Unknown,3,92 BESKABLRAC00062 Jigani KIADB IECAC10KW,parsed
93,BESKABLRAC00084,BESCOM -RR Layout O&M,IECAC10KW,Unknown,3,93 BESKABLRAC00084 BESCOM -RR Layout O&M IECAC10KW,parsed
94,BESKABLRAC00015,BESCOM Avalahalli (W1 SDO),IECAC10KW,Unknown,3,94 BESKABLRAC00015 BESCOM Avalahalli (W1 SDO) IECAC10KW,parsed
95,BESKABLRAC00090,BESCOM WEST Circle Office,IECAC10KW,Unknown,3,95 BESKABLRAC00090 BESCOM WEST Circle Office IECAC10KW,parsed
96,BESKABLRAC00069,BBMP Vijaya Bank Bilekahalli,IECAC10KW,Unknown,3,96 BESKABLRAC00069 BBMP Vijaya Bank Bilekahalli IECAC10KW,parsed
97,BESKABLRAC00057,BESCOM - Hegganahalli O&M,IECAC10KW,Unknown,3,97 BESKABLRAC00057 BESCOM - Hegganahalli O&M IECAC10KW,parsed
98,BESKABLRAC00087,TTMC Vijayanagar,IECAC10KW,Jayanagar,3,98 BESKABLRAC00087 TTMC Vijayanagar IECAC10KW,parsed
99,BESKABLRAC00036,BBMP Gottigere Office Bannerughatta Main Rd,IECAC10KW,Unknown,3,99 BESKABLRAC00036 BBMP Gottigere Office Bannerughatta Main Rd IECAC10KW,parsed
100,BESKABLRAC00028,BBMP Vignana Nagar,IECAC10KW,Unknown,3,100 BESKABLRAC00028 BBMP Vignana Nagar IECAC10KW,parsed
101,BESKABLRAC00058,KSRTC Peenya,IECAC10KW,Peenya,3,101 BESKABLRAC00058 KSRTC Peenya IECAC10KW,parsed
102,BESKABLRAC00045,BBMP Whitefield Office,IECAC10KW,Whitefield,3,102 BESKABLRAC00045 BBMP Whitefield Office IECAC10KW,parsed
103,BESKABLRAC00092,BDA Nagarabhavi,IECAC10KW,Unknown,3,103 BESKABLRAC00092 BDA Nagarabhavi IECAC10KW,parsed
104,BESKABLRAC00071,JP Nagar BBMP Office,IECAC10KW,Unknown,3,104 BESKABLRAC00071 JP Nagar BBMP Office IECAC10KW,parsed
105,BESKABLRAC00017,BESCOM Kumbalagodu O&M,IECAC10KW,Unknown,3,105 BESKABLRAC00017 BESCOM Kumbalagodu O&M IECAC10KW,parsed
106,BESKABLRAC00046,BBMP KR Puram Office,IECAC10KW,KR Puram,3,106 BESKABLRAC00046 BBMP KR Puram Office IECAC10KW,parsed
107,BESKABLRAC00027,RTO Nelamangala,IECAC10KW,Unknown,3,107 BESKABLRAC00027 RTO Nelamangala IECAC10KW,parsed
108,BESKABLRAC00043,W4 Subdivision (KPTCL),IECAC10KW,Unknown,3,108 BESKABLRAC00043 W4 Subdivision (KPTCL) IECAC10KW,parsed
109,BESKABLRAC00042,W4 Subdivision (KPTCL),IECAC10KW,Unknown,3,109 BESKABLRAC00042 W4 Subdivision (KPTCL) IECAC10KW,parsed
110,BESKABLRAC00025,BESCOM Devanahalli SDO,IECAC10KW,Unknown,3,110 BESKABLRAC00025 BESCOM Devanahalli SDO IECAC10KW,parsed
111,BESKABLRAC00020,BESCOM W7 RR Nagara O&M No.20,IECAC10KW,Unknown,3,111 BESKABLRAC00020 BESCOM W7 RR Nagara O&M No.20 IECAC10KW,parsed
112,BESKABLRAC00038,BDA HBR Layout Complex,IECAC10KW,Unknown,3,112 BESKABLRAC00038 BDA HBR Layout Complex IECAC10KW,parsed
113,BESKABLRAC00039,BBMP Horamavu Office,IECAC10KW,Unknown,3,113 BESKABLRAC00039 BBMP Horamavu Office IECAC10KW,parsed
114,BESKABLRAC00022,BESCOM HSR Layout,IECAC10KW,HSR Layout,3,114 BESKABLRAC00022 BESCOM HSR Layout IECAC10KW,parsed
115,BESKABLRAC00019,BESCOM Nagawara Sub Division,IECAC10KW,Unknown,4,115 BESKABLRAC00019 BESCOM Nagawara Sub Division IECAC10KW,parsed
116,BESCOR05,BESCOM Corporate Office,EVRE-WX-3.3KW,Unknown,4,116 BESCOR05 BESCOM Corporate Office EVRE-WX-3.3KW,parsed
117,BESKABLRAC00032,BDA Domlur Complex,IECAC10KW,Unknown,4,117 BESKABLRAC00032 BDA Domlur Complex IECAC10KW,parsed
118,BESKABLRAC00037,Shivajinagar TTMC,IECAC10KW,Unknown,4,118 BESKABLRAC00037 Shivajinagar TTMC IECAC10KW,parsed
119,BESCOR06,BESCOM Corporate Office,PENTA IEC 3.3kW,Unknown,4,119 BESCOR06 BESCOM Corporate Office PENTA IEC 3.3kW,parsed
120,BESAC0522106,BESCOM S12 JP Nagar SDO,EVRE-WX-3.3KW,Unknown,4,120 BESAC0522106 BESCOM S12 JP Nagar SDO EVRE-WX-3.3KW,parsed
121,BESAC0522107,BESCOM S12 JP Nagar SDO,EVRE-WX-3.3KW,Unknown,4,121 BESAC0522107 BESCOM S12 JP Nagar SDO EVRE-WX-3.3KW,parsed
122,BESAC0522108,BESCOM Panduranganagar O&M,EVRE-WX-3.3KW,Unknown,4,122 BESAC0522108 BESCOM Panduranganagar O&M EVRE-WX-3.3KW,parsed
123,BESAC0522110,BESCOM S14 JP Nagar SDO,EVRE-WX-3.3KW,Unknown,4,123 BESAC0522110 BESCOM S14 JP Nagar SDO EVRE-WX-3.3KW,parsed
124,BESAC0522109,BESCOM S14 JP Nagar SDO,EVRE-WX-3.3KW,Unknown,4,124 BESAC0522109 BESCOM S14 JP Nagar SDO EVRE-WX-3.3KW,parsed
125,BESAC0522111,BESCOM S1 Jayanagar SDO,EVRE-WX-3.3KW,Jayanagar,4,125 BESAC0522111 BESCOM S1 Jayanagar SDO EVRE-WX-3.3KW,parsed
126,BESAC0522112,BESCOM Thalaghattapura O&M,EVRE-WX-3.3KW,Unknown,4,126 BESAC0522112 BESCOM Thalaghattapura O&M EVRE-WX-3.3KW,parsed
127,BESAC0522114,BESCOM KATRIGUPPE O&M OFFICE,EVRE-WX-3.3KW,Unknown,4,127 BESAC0522114 BESCOM KATRIGUPPE O&M OFFICE EVRE-WX-3.3KW,parsed
128,BESAC0522113,BESCOM JAYANAGARA DIVISION,EVRE-WX-3.3KW,Jayanagar,4,128 BESAC0522113 BESCOM JAYANAGARA DIVISION EVRE-WX-3.3KW,parsed
129,BESAC0522121,BESCOM JAYANAGARA DIVISION,EVRE-WX-3.3KW,Jayanagar,4,129 BESAC0522121 BESCOM JAYANAGARA DIVISION EVRE-WX-3.3KW,parsed
130,BESAC0522115,BESCOM- Chikkalasandra O&M,EVRE-WX-3.3KW,Unknown,4,130 BESAC0522115 BESCOM- Chikkalasandra O&M EVRE-WX-3.3KW,parsed
131,BESAC052200072,BESCOM C2 Malleshwaram SDO,PENTA IEC 3.3kW,Malleshwaram,4,131 BESAC052200072 BESCOM C2 Malleshwaram SDO PENTA IEC 3.3kW,parsed
132,BESAC052200071,BESCOM C2 Malleshwaram SDO,PENTA IEC 3.3kW,Malleshwaram,4,132 BESAC052200071 BESCOM C2 Malleshwaram SDO PENTA IEC 3.3kW,parsed
133,BESAC052200053,BESCOM KGF Division,PENTA IEC 3.3kW,Unknown,4,133 BESAC052200053 BESCOM KGF Division PENTA IEC 3.3kW,parsed
134,BESAC0522117,BESCOM HSR Layout,EVRE-WX-3.3KW,HSR Layout,4,134 BESAC0522117 BESCOM HSR Layout EVRE-WX-3.3KW,parsed
135,BESAC0522118,BESCOM HSR Layout,EVRE-WX-3.3KW,HSR Layout,4,135 BESAC0522118 BESCOM HSR Layout EVRE-WX-3.3KW,parsed
136,BESAC0522119,BESCOM ITI Layout O&M,EVRE-WX-3.3KW,Unknown,4,136 BESAC0522119 BESCOM ITI Layout O&M EVRE-WX-3.3KW,parsed
137,BESAC0522120,BESCOM S8 Bommanahalli SDO,EVRE-WX-3.3KW,Unknown,4,137 BESAC0522120 BESCOM S8 Bommanahalli SDO EVRE-WX-3.3KW,parsed
138,BESAC0522116,BESCOM Vasantapura O&M,EVRE-WX-3.3KW,Unknown,4,138 BESAC0522116 BESCOM Vasantapura O&M EVRE-WX-3.3KW,parsed
139,BESAC052200065,BESCOM C5 Kavalbairasandra SDO,PENTA IEC 3.3kW,Unknown,4,139 BESAC052200065 BESCOM C5 Kavalbairasandra SDO PENTA IEC 3.3kW,parsed
140,BESAC052200006,BESCOM Chintamani Rural SDO,PENTA IEC 3.3kW,Unknown,4,140 BESAC052200006 BESCOM Chintamani Rural SDO PENTA IEC 3.3kW,parsed
141,BESAC052200005,BESCOM Kaiwara Section,PENTA IEC 3.3kW,Unknown,4,141 BESAC052200005 BESCOM Kaiwara Section PENTA IEC 3.3kW,parsed
142,BESAC052200064,BESCOM C4 Hebbala SDO,PENTA IEC 3.3kW,Hebbal,4,142 BESAC052200064 BESCOM C4 Hebbala SDO PENTA IEC 3.3kW,parsed
143,BESAC052200027,BESCOM Sondekoppa section office,PENTA IEC 3.3kW,Unknown,4,143 BESAC052200027 BESCOM Sondekoppa section office PENTA IEC 3.3kW,parsed
144,BESAC052200011,BESCOM Attibele SDO,PENTA IEC 3.3kW,Unknown,4,144 BESAC052200011 BESCOM Attibele SDO PENTA IEC 3.3kW,parsed
145,BESAC052200010,BESCOM Sarjapura SDO,PENTA IEC 3.3kW,Sarjapur Road,4,145 BESAC052200010 BESCOM Sarjapura SDO PENTA IEC 3.3kW,parsed
146,BESAC052200056,BESCOM Masthi Section,PENTA IEC 3.3kW,Unknown,4,146 BESAC052200056 BESCOM Masthi Section PENTA IEC 3.3kW,parsed
147,BESAC052200009,BESCOM Jigani SDO,PENTA IEC 3.3kW,Unknown,4,147 BESAC052200009 BESCOM Jigani SDO PENTA IEC 3.3kW,parsed
148,BESAC052200061,BESCOM Yalhanka,PENTA IEC 3.3kW,Yelahanka,4,148 BESAC052200061 BESCOM Yalhanka PENTA IEC 3.3kW,parsed
149,BESAC052200025,BESCOM Thyamagondlu Section,PENTA IEC 3.3kW,Unknown,4,149 BESAC052200025 BESCOM Thyamagondlu Section PENTA IEC 3.3kW,parsed
150,BESAC052200074,BESCOM - Shettihalli O&M N5 - SRS Gate,PENTA IEC 3.3kW,Unknown,4,150 BESAC052200074 BESCOM - Shettihalli O&M N5 - SRS Gate PENTA IEC 3.3kW,parsed
151,BESAC052200055,BESCOM Malur SDO,PENTA IEC 3.3kW,Unknown,4,151 BESAC052200055 BESCOM Malur SDO PENTA IEC 3.3kW,parsed
152,BESAC052200034,BESCOM Indiranagar,PENTA IEC 3.3kW,Indiranagar,4,152 BESAC052200034 BESCOM Indiranagar PENTA IEC 3.3kW,parsed
153,BESAC052200093,BESCOM Chandapura SDO,PENTA IEC 3.3kW,Unknown,4,153 BESAC052200093 BESCOM Chandapura SDO PENTA IEC 3.3kW,parsed
154,BESAC052200029,BESCOM Doddaballapura Urban SDO,PENTA IEC 3.3kW,Unknown,5,154 BESAC052200029 BESCOM Doddaballapura Urban SDO PENTA IEC 3.3kW,parsed
155,BESAC052200059,BESCOM Kolar Urban SDO,PENTA IEC 3.3kW,Unknown,5,155 BESAC052200059 BESCOM Kolar Urban SDO PENTA IEC 3.3kW,parsed
156,BESAC052200075,BESCOM - Hegganahalli O&M,PENTA IEC 3.3kW,Unknown,5,156 BESAC052200075 BESCOM - Hegganahalli O&M PENTA IEC 3.3kW,parsed
157,BESAC052200085,BESCOM N7 Nandini Layout O&M,PENTA IEC 3.3kW,Unknown,5,157 BESAC052200085 BESCOM N7 Nandini Layout O&M PENTA IEC 3.3kW,parsed
158,BESAC052200086,BESCOM N7 Nandini Layout O&M,PENTA IEC 3.3kW,Unknown,5,158 BESAC052200086 BESCOM N7 Nandini Layout O&M PENTA IEC 3.3kW,parsed
159,BESAC052200091,BESCOM Anekal SDO,PENTA IEC 3.3kW,Unknown,5,159 BESAC052200091 BESCOM Anekal SDO PENTA IEC 3.3kW,parsed
160,BESAC052200042,BESCOM Nagawara Sub Division,PENTA IEC 3.3kW,Unknown,5,160 BESAC052200042 BESCOM Nagawara Sub Division PENTA IEC 3.3kW,parsed
161,BESAC052200041,BESCOM Nagawara Sub Division,PENTA IEC 3.3kW,Unknown,5,161 BESAC052200041 BESCOM Nagawara Sub Division PENTA IEC 3.3kW,parsed
162,BESAC052200020,BESCOM Sulibele Section,PENTA IEC 3.3kW,Unknown,5,162 BESAC052200020 BESCOM Sulibele Section PENTA IEC 3.3kW,parsed
163,BESAC052200087,BESCOM N9 Soladevahalli O&M,PENTA IEC 3.3kW,Unknown,5,163 BESAC052200087 BESCOM N9 Soladevahalli O&M PENTA IEC 3.3kW,parsed
164,BESAC052200084,BESCOM N9 Soladevahalli O&M,PENTA IEC 3.3kW,Unknown,5,164 BESAC052200084 BESCOM N9 Soladevahalli O&M PENTA IEC 3.3kW,parsed
165,BESAC0522122,BESCOM Rajajinagar Division,EVRE-WX-3.3KW,Rajajinagar,5,165 BESAC0522122 BESCOM Rajajinagar Division EVRE-WX-3.3KW,parsed
166,BESAC0522123,BESCOM Rajajinagar Division,EVRE-WX-3.3KW,Rajajinagar,5,166 BESAC0522123 BESCOM Rajajinagar Division EVRE-WX-3.3KW,parsed
167,BESAC052200016,BESCOM Nandagudi SDO,PENTA IEC 3.3kW,Unknown,5,167 BESAC052200016 BESCOM Nandagudi SDO PENTA IEC 3.3kW,parsed
