zone_id,zone_name,hour,time_period,transformer_capacity_kw,before_ev_load_kw,after_ev_load_kw,before_total_load_kw,after_total_load_kw,before_load_ratio,after_load_ratio,before_risk_level,after_risk_level
Z002,Indiranagar,21,Evening Peak,1597,830.15,539.6,1822.49,1531.94,1.141,0.959,Critical,High
Z002,Indiranagar,22,Evening Peak,1597,759.07,493.4,1894.43,1628.76,1.186,1.02,Critical,Critical
Z002,Indiranagar,23,Late Night,1597,476.36,476.36,1251.37,1251.37,0.784,0.784,Medium,Medium
Z003,Koramangala,0,Night,1832,183.28,397.78,1073.19,1287.69,0.586,0.703,Low,Low
Z003,Koramangala,1,Night,1832,185.51,394.3,1086.7,1295.49,0.593,0.707,Low,Low
Z003,Koramangala,2,Night,1832,205.25,405.62,1179.48,1379.85,0.644,0.753,Low,Medium
Z003,Koramangala,3,Night,1832,186.85,404.39,1096.01,1313.55,0.598,0.717,Low,Low
Z003,Koramangala,4,Night,1832,208.62,426.89,1052.58,1270.85,0.575,0.694,Low,Low
Z003,Koramangala,5,Night,1832,190.66,392.61,1151.12,1353.07,0.628,0.739,Low,Low
Z003,Koramangala,6,Morning,1832,333.82,333.82,1404.59,1404.59,0.767,0.767,Medium,Medium
Z003,Koramangala,7,Morning,1832,340.86,340.86,1445.26,1445.26,0.789,0.789,Medium,Medium
Z003,Koramangala,8,Morning,1832,334.47,334.47,1426.02,1426.02,0.778,0.778,Medium,Medium
Z003,Koramangala,9,Morning,1832,333.83,333.83,1472.68,1472.68,0.804,0.804,Medium,Medium
Z003,Koramangala,10,Day,1832,447.42,447.42,1562.26,1562.26,0.853,0.853,Medium,Medium
Z003,Koramangala,11,Day,1832,503.81,503.81,1816.49,1816.49,0.992,0.992,High,High
Z003,Koramangala,12,Day,1832,503.0,503.0,1791.4,1791.4,0.978,0.978,High,High
Z003,Koramangala,13,Day,1832,466.1,466.1,1617.11,1617.11,0.883,0.883,Medium,Medium
Z003,Koramangala,14,Day,1832,439.21,439.21,1604.01,1604.01,0.876,0.876,Medium,Medium
Z003,Koramangala,15,Day,1832,454.58,454.58,1592.81,1592.81,0.869,0.869,Medium,Medium
Z003,Koramangala,16,Day,1832,470.72,470.72,1575.56,1575.56,0.86,0.86,Medium,Medium
Z003,Koramangala,17,Evening Peak,1832,623.62,405.35,1921.22,1702.95,1.049,0.93,Critical,High
Z003,Koramangala,18,Evening Peak,1832,612.86,398.36,1914.56,1700.06,1.045,0.928,Critical,High
Z003,Koramangala,19,Evening Peak,1832,596.53,387.74,2083.55,1874.76,1.137,1.023,Critical,Critical
Z003,Koramangala,20,Evening Peak,1832,621.55,404.01,1879.63,1662.09,1.026,0.907,Critical,High
Z003,Koramangala,21,Evening Peak,1832,576.99,375.04,1993.7,1791.75,1.088,0.978,Critical,High
Z003,Koramangala,22,Evening Peak,1832,572.48,372.11,1993.16,1792.79,1.088,0.979,Critical,High
Z003,Koramangala,23,Late Night,1832,328.62,328.62,1369.01,1369.01,0.747,0.747,Low,Low
Z004,Electronic City,0,Night,3166,175.17,175.17,1416.02,1416.02,0.447,0.447,Low,Low
Z004,Electronic City,1,Night,3166,177.51,177.51,1516.17,1516.17,0.479,0.479,Low,Low
Z004,Electronic City,2,Night,3166,198.71,198.71,1634.73,1634.73,0.516,0.516,Low,Low
Z004,Electronic City,3,Night,3166,195.61,195.61,1727.76,1727.76,0.546,0.546,Low,Low
Z004,Electronic City,4,Night,3166,196.86,196.86,1622.28,1622.28,0.512,0.512,Low,Low
Z004,Electronic City,5,Night,3166,194.05,194.05,1540.61,1540.61,0.487,0.487,Low,Low
Z004,Electronic City,6,Morning,3166,468.28,468.28,2370.45,2370.45,0.749,0.749,Low,Low
Z004,Electronic City,7,Morning,3166,474.87,474.87,2322.63,2322.63,0.734,0.734,Low,Low
Z004,Electronic City,8,Morning,3166,478.66,478.66,2342.81,2342.81,0.74,0.74,Low,Low
Z004,Electronic City,9,Morning,3166,474.35,474.35,2228.89,2228.89,0.704,0.704,Low,Low
Z004,Electronic City,10,Day,3166,402.0,402.0,2274.84,2274.84,0.719,0.719,Low,Low
Z004,Electronic City,11,Day,3166,467.03,467.03,2274.83,2274.83,0.719,0.719,Low,Low
Z004,Electronic City,12,Day,3166,377.46,377.46,2195.54,2195.54,0.693,0.693,Low,Low
Z004,Electronic City,13,Day,3166,337.73,337.73,2263.02,2263.02,0.715,0.715,Low,Low
Z004,Electronic City,14,Day,3166,390.96,390.96,2066.89,2066.89,0.653,0.653,Low,Low
Z004,Electronic City,15,Day,3166,328.24,328.24,2282.39,2282.39,0.721,0.721,Low,Low
Z004,Electronic City,16,Day,3166,371.4,371.4,2360.9,2360.9,0.746,0.746,Low,Low
Z004,Electronic City,17,Evening Peak,3166,425.0,425.0,2408.13,2408.13,0.761,0.761,Medium,Medium
Z004,Electronic City,18,Evening Peak,3166,421.03,421.03,2368.11,2368.11,0.748,0.748,Low,Low
Z004,Electronic City,19,Evening Peak,3166,454.31,454.31,2598.01,2598.01,0.821,0.821,Medium,Medium
Z004,Electronic City,20,Evening Peak,3166,443.34,443.34,2486.79,2486.79,0.785,0.785,Medium,Medium
Z004,Electronic City,21,Evening Peak,3166,291.11,291.11,2530.23,2530.23,0.799,0.799,Medium,Medium
Z004,Electronic City,22,Evening Peak,3166,215.89,215.89,2229.53,2229.53,0.704,0.704,Low,Low
Z004,Electronic City,23,Late Night,3166,312.22,312.22,1803.05,1803.05,0.57,0.57,Low,Low
Z005,MG Road,0,Night,2000,129.88,252.89,1234.08,1357.09,0.617,0.679,Low,Low
Z005,MG Road,1,Night,2000,134.27,402.36,1100.42,1368.51,0.55,0.684,Low,Low
Z005,MG Road,2,Night,2000,150.55,150.55,1348.33,1348.33,0.674,0.674,Low,Low
Z005,MG Road,3,Night,2000,141.9,208.72,1327.52,1394.34,0.664,0.697,Low,Low
Z005,MG Road,4,Night,2000,125.79,180.88,1304.67,1359.76,0.652,0.68,Low,Low
Z005,MG Road,5,Night,2000,119.83,252.18,1221.24,1353.59,0.611,0.677,Low,Low
Z005,MG Road,6,Morning,2000,286.11,286.11,1642.34,1642.34,0.821,0.821,Medium,Medium
Z005,MG Road,7,Morning,2000,269.25,269.25,1553.7,1553.7,0.777,0.777,Medium,Medium
Z005,MG Road,8,Morning,2000,271.42,271.42,1583.02,1583.02,0.792,0.792,Medium,Medium
Z005,MG Road,9,Morning,2000,266.9,266.9,1606.28,1606.28,0.803,0.803,Medium,Medium
Z005,MG Road,10,Day,2000,569.98,569.98,1973.55,1973.55,0.987,0.987,High,High
Z005,MG Road,11,Day,2000,542.47,542.47,1999.88,1999.88,1.0,1.0,High,High
Z005,MG Road,12,Day,2000,547.06,547.06,2112.05,2112.05,1.056,1.056,Critical,Critical
Z005,MG Road,13,Day,2000,535.5,535.5,2008.07,2008.07,1.004,1.004,Critical,Critical
Z005,MG Road,14,Day,2000,517.43,517.43,2049.16,2049.16,1.025,1.025,Critical,Critical
Z005,MG Road,15,Day,2000,513.24,513.24,2081.79,2081.79,1.041,1.041,Critical,Critical
Z005,MG Road,16,Day,2000,513.47,513.47,1858.0,1858.0,0.929,0.929,High,High
Z005,MG Road,17,Evening Peak,2000,381.19,247.77,2191.2,2057.78,1.096,1.029,Critical,Critical
Z005,MG Road,18,Evening Peak,2000,378.14,245.79,2148.63,2016.28,1.074,1.008,Critical,Critical
Z005,MG Road,19,Evening Peak,2000,384.77,250.1,2153.57,2018.9,1.077,1.009,Critical,Critical
Z005,MG Road,20,Evening Peak,2000,351.46,228.45,2060.27,1937.26,1.03,0.969,Critical,High
Z005,MG Road,21,Evening Peak,2000,267.29,200.47,1853.56,1786.74,0.927,0.893,High,Medium
Z005,MG Road,22,Evening Peak,2000,220.38,165.29,1892.88,1837.79,0.946,0.919,High,High
Z005,MG Road,23,Late Night,2000,221.65,221.65,1494.29,1494.29,0.747,0.747,Low,Low
Z006,Jayanagar,0,Night,1234,256.11,476.72,889.99,1110.6,0.721,0.9,Low,High
Z006,Jayanagar,1,Night,1234,285.54,604.6,791.54,1110.6,0.641,0.9,Low,High
Z006,Jayanagar,2,Night,1234,276.34,500.51,886.43,1110.6,0.718,0.9,Low,High
Z006,Jayanagar,3,Night,1234,275.37,481.71,904.26,1110.6,0.733,0.9,Low,High
Z006,Jayanagar,4,Night,1234,256.93,518.43,804.84,1066.34,0.652,0.864,Low,Medium
Z006,Jayanagar,5,Night,1234,280.29,595.5,795.39,1110.6,0.645,0.9,Low,High
Z006,Jayanagar,6,Morning,1234,376.36,376.36,1078.77,1078.77,0.874,0.874,Medium,Medium
Z006,Jayanagar,7,Morning,1234,364.52,364.52,1150.74,1150.74,0.933,0.933,High,High
Z006,Jayanagar,8,Morning,1234,382.52,382.52,1083.88,1083.88,0.878,0.878,Medium,Medium
Z006,Jayanagar,9,Morning,1234,338.44,338.44,1126.94,1126.94,0.913,0.913,High,High
Z006,Jayanagar,10,Day,1234,287.98,287.98,1066.76,1066.76,0.864,0.864,Medium,Medium
Z006,Jayanagar,11,Day,1234,280.3,280.3,1066.51,1066.51,0.864,0.864,Medium,Medium
Z006,Jayanagar,12,Day,1234,289.59,289.59,1096.92,1096.92,0.889,0.889,Medium,Medium
Z006,Jayanagar,13,Day,1234,290.16,290.16,1039.41,1039.41,0.842,0.842,Medium,Medium
Z006,Jayanagar,14,Day,1234,297.44,297.44,1098.08,1098.08,0.89,0.89,Medium,Medium
Z006,Jayanagar,15,Day,1234,307.77,307.77,1123.26,1123.26,0.91,0.91,High,High
Z006,Jayanagar,16,Day,1234,336.4,336.4,1034.73,1034.73,0.839,0.839,Medium,Medium
Z006,Jayanagar,17,Evening Peak,1234,691.31,449.35,1585.77,1343.81,1.285,1.089,Critical,Critical
Z006,Jayanagar,18,Evening Peak,1234,702.8,456.82,1503.1,1257.12,1.218,1.019,Critical,Critical
Z006,Jayanagar,19,Evening Peak,1234,728.86,473.76,1642.52,1387.42,1.331,1.124,Critical,Critical
Z006,Jayanagar,20,Evening Peak,1234,699.19,454.47,1594.58,1349.86,1.292,1.094,Critical,Critical
Z006,Jayanagar,21,Evening Peak,1234,800.41,520.27,1604.14,1324.0,1.3,1.073,Critical,Critical
Z006,Jayanagar,22,Evening Peak,1234,797.11,518.12,1629.17,1350.18,1.32,1.094,Critical,Critical
Z006,Jayanagar,23,Late Night,1234,480.2,480.2,1139.77,1139.77,0.924,0.924,High,High
Z007,Hebbal,0,Night,1741,254.13,514.51,1094.29,1354.67,0.629,0.778,Low,Medium
Z007,Hebbal,1,Night,1741,243.5,474.02,978.04,1208.56,0.562,0.694,Low,Low
Z007,Hebbal,2,Night,1741,259.72,518.57,1109.9,1368.75,0.638,0.786,Low,Medium
Z007,Hebbal,3,Night,1741,258.77,501.38,983.4,1226.01,0.565,0.704,Low,Low
Z007,Hebbal,4,Night,1741,240.8,509.97,990.02,1259.19,0.569,0.723,Low,Low
Z007,Hebbal,5,Night,1741,225.64,487.36,1047.38,1309.1,0.602,0.752,Low,Medium
Z007,Hebbal,6,Morning,1741,427.47,427.47,1340.88,1340.88,0.77,0.77,Medium,Medium
Z007,Hebbal,7,Morning,1741,396.52,396.52,1337.76,1337.76,0.768,0.768,Medium,Medium
Z007,Hebbal,8,Morning,1741,416.14,416.14,1529.09,1529.09,0.878,0.878,Medium,Medium
Z007,Hebbal,9,Morning,1741,416.4,416.4,1456.23,1456.23,0.836,0.836,Medium,Medium
Z007,Hebbal,10,Day,1741,492.99,492.99,1651.9,1651.9,0.949,0.949,High,High
Z007,Hebbal,11,Day,1741,508.49,508.49,1615.0,1615.0,0.928,0.928,High,High
Z007,Hebbal,12,Day,1741,542.24,542.24,1531.43,1531.43,0.88,0.88,Medium,Medium
Z007,Hebbal,13,Day,1741,492.86,492.86,1551.36,1551.36,0.891,0.891,Medium,Medium
Z007,Hebbal,14,Day,1741,519.6,519.6,1536.37,1536.37,0.882,0.882,Medium,Medium
Z007,Hebbal,15,Day,1741,526.34,526.34,1613.96,1613.96,0.927,0.927,High,High
Z007,Hebbal,16,Day,1741,519.84,519.84,1564.43,1564.43,0.899,0.899,Medium,Medium
Z007,Hebbal,17,Evening Peak,1741,658.62,428.1,1843.29,1612.77,1.059,0.926,Critical,High
Z007,Hebbal,18,Evening Peak,1741,693.18,450.57,1911.28,1668.67,1.098,0.958,Critical,High
Z007,Hebbal,19,Evening Peak,1741,769.05,499.88,2006.65,1737.48,1.153,0.998,Critical,High
Z007,Hebbal,20,Evening Peak,1741,747.78,486.06,2003.82,1742.1,1.151,1.001,Critical,Critical
Z007,Hebbal,21,Evening Peak,1741,743.93,483.55,1977.99,1717.61,1.136,0.987,Critical,High
Z007,Hebbal,22,Evening Peak,1741,739.57,480.72,1933.52,1674.67,1.111,0.962,Critical,High
Z007,Hebbal,23,Late Night,1741,414.03,414.03,1353.5,1353.5,0.777,0.777,Medium,Medium
Z008,Yelahanka,0,Night,1104,267.88,480.84,780.64,993.6,0.707,0.9,Low,High
Z008,Yelahanka,1,Night,1104,247.98,437.72,803.86,993.6,0.728,0.9,Low,High
Z008,Yelahanka,2,Night,1104,262.79,541.8,714.59,993.6,0.647,0.9,Low,High
Z008,Yelahanka,3,Night,1104,255.59,513.44,735.75,993.6,0.666,0.9,Low,High
Z008,Yelahanka,4,Night,1104,254.39,508.91,739.08,993.6,0.669,0.9,Low,High
Z008,Yelahanka,5,Night,1104,243.91,439.1,798.41,993.6,0.723,0.9,Low,High
Z008,Yelahanka,6,Morning,1104,317.6,317.6,916.49,916.49,0.83,0.83,Medium,Medium
Z008,Yelahanka,7,Morning,1104,319.84,319.84,947.47,947.47,0.858,0.858,Medium,Medium
Z008,Yelahanka,8,Morning,1104,321.43,321.43,1004.44,1004.44,0.91,0.91,High,High
Z008,Yelahanka,9,Morning,1104,309.83,309.83,983.77,983.77,0.891,0.891,Medium,Medium
Z008,Yelahanka,10,Day,1104,262.11,262.11,875.57,875.57,0.793,0.793,Medium,Medium
Z008,Yelahanka,11,Day,1104,265.89,265.89,900.16,900.16,0.815,0.815,Medium,Medium
Z008,Yelahanka,12,Day,1104,260.24,260.24,1006.76,1006.76,0.912,0.912,High,High
Z008,Yelahanka,13,Day,1104,260.65,260.65,1007.33,1007.33,0.912,0.912,High,High
Z008,Yelahanka,14,Day,1104,261.33,261.33,926.72,926.72,0.839,0.839,Medium,Medium
Z008,Yelahanka,15,Day,1104,273.09,273.09,944.08,944.08,0.855,0.855,Medium,Medium
Z008,Yelahanka,16,Day,1104,297.45,297.45,934.06,934.06,0.846,0.846,Medium,Medium
Z008,Yelahanka,17,Evening Peak,1104,724.28,470.78,1469.95,1216.45,1.331,1.102,Critical,Critical
Z008,Yelahanka,18,Evening Peak,1104,727.03,472.57,1520.79,1266.33,1.378,1.147,Critical,Critical
Z008,Yelahanka,19,Evening Peak,1104,771.58,501.53,1518.72,1248.67,1.376,1.131,Critical,Critical
Z008,Yelahanka,20,Evening Peak,1104,783.45,509.24,1585.73,1311.52,1.436,1.188,Critical,Critical
Z008,Yelahanka,21,Evening Peak,1104,784.26,509.77,1506.16,1231.67,1.364,1.116,Critical,Critical
Z008,Yelahanka,22,Evening Peak,1104,793.98,731.42,1554.01,1491.45,1.408,1.351,Critical,Critical
Z008,Yelahanka,23,Late Night,1104,448.7,448.7,1037.1,1037.1,0.939,0.939,High,High
Z009,BTM Layout,0,Night,1048,215.87,441.1,670.09,895.32,0.639,0.854,Low,Medium
Z009,BTM Layout,1,Night,1048,209.58,443.06,601.67,835.15,0.574,0.797,Low,Medium
Z009,BTM Layout,2,Night,1048,223.23,459.19,589.59,825.55,0.563,0.788,Low,Medium
Z009,BTM Layout,3,Night,1048,200.54,442.15,624.33,865.94,0.596,0.826,Low,Medium
Z009,BTM Layout,4,Night,1048,195.36,430.04,571.18,805.86,0.545,0.769,Low,Medium
Z009,BTM Layout,5,Night,1048,205.89,446.28,609.73,850.12,0.582,0.811,Low,Medium
Z009,BTM Layout,6,Morning,1048,290.51,290.51,755.41,755.41,0.721,0.721,Low,Low
Z009,BTM Layout,7,Morning,1048,324.5,324.5,857.81,857.81,0.819,0.819,Medium,Medium
Z009,BTM Layout,8,Morning,1048,320.74,320.74,836.98,836.98,0.799,0.799,Medium,Medium
Z009,BTM Layout,9,Morning,1048,316.14,316.14,858.94,858.94,0.82,0.82,Medium,Medium
Z009,BTM Layout,10,Day,1048,252.31,252.31,838.36,838.36,0.8,0.8,Medium,Medium
Z009,BTM Layout,11,Day,1048,267.1,267.1,806.56,806.56,0.77,0.77,Medium,Medium
Z009,BTM Layout,12,Day,1048,269.75,269.75,867.05,867.05,0.827,0.827,Medium,Medium
Z009,BTM Layout,13,Day,1048,263.02,263.02,834.55,834.55,0.796,0.796,Medium,Medium
Z009,BTM Layout,14,Day,1048,253.89,253.89,758.82,758.82,0.724,0.724,Low,Low
Z009,BTM Layout,15,Day,1048,277.09,277.09,821.97,821.97,0.784,0.784,Medium,Medium
Z009,BTM Layout,16,Day,1048,289.18,289.18,887.37,887.37,0.847,0.847,Medium,Medium
Z009,BTM Layout,17,Evening Peak,1048,670.52,435.84,1253.08,1018.4,1.196,0.972,Critical,High
Z009,BTM Layout,18,Evening Peak,1048,674.16,438.2,1348.44,1112.48,1.287,1.062,Critical,Critical
Z009,BTM Layout,19,Evening Peak,1048,667.08,433.6,1281.08,1047.6,1.222,1.0,Critical,High
Z009,BTM Layout,20,Evening Peak,1048,686.83,446.44,1333.87,1093.48,1.273,1.043,Critical,Critical
Z009,BTM Layout,21,Evening Peak,1048,690.32,448.71,1358.13,1116.52,1.296,1.065,Critical,Critical
Z009,BTM Layout,22,Evening Peak,1048,643.51,418.28,1222.16,996.93,1.166,0.951,Critical,High
Z009,BTM Layout,23,Late Night,1048,381.29,381.29,861.07,861.07,0.822,0.822,Medium,Medium
Z010,Rajajinagar,0,Night,2110,220.16,473.1,1344.94,1597.88,0.637,0.757,Low,Medium
Z010,Rajajinagar,1,Night,2110,223.04,223.04,1410.35,1410.35,0.668,0.668,Low,Low
Z010,Rajajinagar,2,Night,2110,226.75,473.03,1401.79,1648.07,0.664,0.781,Low,Medium
Z010,Rajajinagar,3,Night,2110,228.06,488.72,1244.48,1505.14,0.59,0.713,Low,Low
Z010,Rajajinagar,4,Night,2110,227.05,469.7,1236.56,1479.21,0.586,0.701,Low,Low
Z010,Rajajinagar,5,Night,2110,221.88,694.29,1176.97,1649.38,0.558,0.782,Low,Medium
Z010,Rajajinagar,6,Morning,2110,390.38,390.38,1838.83,1838.83,0.871,0.871,Medium,Medium
Z010,Rajajinagar,7,Morning,2110,382.59,382.59,1716.62,1716.62,0.814,0.814,Medium,Medium
Z010,Rajajinagar,8,Morning,2110,404.54,404.54,1907.45,1907.45,0.904,0.904,High,High
Z010,Rajajinagar,9,Morning,2110,411.8,411.8,1741.37,1741.37,0.825,0.825,Medium,Medium
Z010,Rajajinagar,10,Day,2110,470.06,470.06,1797.34,1797.34,0.852,0.852,Medium,Medium
Z010,Rajajinagar,11,Day,2110,478.12,478.12,1824.77,1824.77,0.865,0.865,Medium,Medium
Z010,Rajajinagar,12,Day,2110,508.59,508.59,1979.12,1979.12,0.938,0.938,High,High
Z010,Rajajinagar,13,Day,2110,533.32,533.32,2096.84,2096.84,0.994,0.994,High,High
Z010,Rajajinagar,14,Day,2110,543.36,543.36,1913.65,1913.65,0.907,0.907,High,High
Z010,Rajajinagar,15,Day,2110,553.76,553.76,1935.74,1935.74,0.917,0.917,High,High
Z010,Rajajinagar,16,Day,2110,533.89,533.89,2035.29,2035.29,0.965,0.965,High,High
Z010,Rajajinagar,17,Evening Peak,2110,660.7,429.45,2250.04,2018.79,1.066,0.957,Critical,High
Z010,Rajajinagar,18,Evening Peak,2110,693.29,450.64,2241.41,1998.76,1.062,0.947,Critical,High
Z010,Rajajinagar,19,Evening Peak,2110,744.75,484.09,2409.16,2148.5,1.142,1.018,Critical,Critical
Z010,Rajajinagar,20,Evening Peak,2110,722.69,469.75,2351.84,2098.9,1.115,0.995,Critical,High
Z010,Rajajinagar,21,Evening Peak,2110,703.66,457.38,2400.46,2154.18,1.138,1.021,Critical,Critical
Z010,Rajajinagar,22,Evening Peak,2110,689.03,447.87,2418.2,2177.04,1.146,1.032,Critical,Critical
Z010,Rajajinagar,23,Late Night,2110,397.17,397.17,1493.06,1493.06,0.708,0.708,Low,Low
Z011,Marathahalli,0,Night,2112,186.91,428.47,1129.85,1371.41,0.535,0.649,Low,Low
Z011,Marathahalli,1,Night,2112,176.07,362.31,1231.04,1417.28,0.583,0.671,Low,Low
Z011,Marathahalli,2,Night,2112,183.2,441.94,1059.31,1318.05,0.502,0.624,Low,Low
Z011,Marathahalli,3,Night,2112,190.55,418.78,1134.33,1362.56,0.537,0.645,Low,Low
Z011,Marathahalli,4,Night,2112,197.31,443.73,1039.73,1286.15,0.492,0.609,Low,Low
Z011,Marathahalli,5,Night,2112,188.41,375.52,1177.83,1364.94,0.558,0.646,Low,Low
Z011,Marathahalli,6,Morning,2112,354.63,354.63,1518.45,1518.45,0.719,0.719,Low,Low
Z011,Marathahalli,7,Morning,2112,361.51,361.51,1454.64,1454.64,0.689,0.689,Low,Low
Z011,Marathahalli,8,Morning,2112,352.45,352.45,1544.85,1544.85,0.731,0.731,Low,Low
Z011,Marathahalli,9,Morning,2112,351.68,351.68,1524.82,1524.82,0.722,0.722,Low,Low
Z011,Marathahalli,10,Day,2112,462.79,462.79,1655.73,1655.73,0.784,0.784,Medium,Medium
Z011,Marathahalli,11,Day,2112,500.17,500.17,1748.12,1748.12,0.828,0.828,Medium,Medium
Z011,Marathahalli,12,Day,2112,496.15,496.15,1706.73,1706.73,0.808,0.808,Medium,Medium
Z011,Marathahalli,13,Day,2112,479.99,479.99,1723.16,1723.16,0.816,0.816,Medium,Medium
Z011,Marathahalli,14,Day,2112,443.76,443.76,1583.33,1583.33,0.75,0.75,Medium,Medium
Z011,Marathahalli,15,Day,2112,448.92,448.92,1578.94,1578.94,0.748,0.748,Low,Low
Z011,Marathahalli,16,Day,2112,465.22,465.22,1620.64,1620.64,0.767,0.767,Medium,Medium
Z011,Marathahalli,17,Evening Peak,2112,704.05,457.63,2162.34,1915.92,1.024,0.907,Critical,High
Z011,Marathahalli,18,Evening Peak,2112,744.97,558.73,2061.81,1875.57,0.976,0.888,High,Medium
Z011,Marathahalli,19,Evening Peak,2112,748.45,561.34,2104.88,1917.77,0.997,0.908,High,High
Z011,Marathahalli,20,Evening Peak,2112,739.27,480.53,2118.64,1859.9,1.003,0.881,Critical,Medium
Z011,Marathahalli,21,Evening Peak,2112,690.16,448.6,2157.03,1915.47,1.021,0.907,Critical,High
Z011,Marathahalli,22,Evening Peak,2112,652.09,423.86,2171.52,1943.29,1.028,0.92,Critical,High
Z011,Marathahalli,23,Late Night,2112,329.03,329.03,1381.69,1381.69,0.654,0.654,Low,Low
