zone_id,zone_name,peak_hour,original_risk_level,original_ev_load_kw,original_total_load_kw,original_load_ratio,recommended_shift_percent,shifted_load_kw,allocated_shift_kw,unallocated_shift_kw,recommended_offpeak_hours,feasibility_status,expected_peak_load_reduction_kw,expected_peak_load_reduction_percent,recommendation_text,explanation
Z006,Jayanagar,17,Critical,691.31,1585.77,1.285,0.35,241.96,241.96,0.0,01:00,Feasible,241.96,15.26,Shift 35% of EV charging from 17:00 to off-peak hours 01:00.,Jayanagar at 17:00 is Critical because load reaches 128.5% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z006,Jayanagar,18,Critical,702.8,1503.1,1.218,0.35,245.98,245.98,0.0,05:00,Feasible,245.98,16.36,Shift 35% of EV charging from 18:00 to off-peak hours 05:00.,Jayanagar at 18:00 is Critical because load reaches 121.8% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z006,Jayanagar,19,Critical,728.86,1642.52,1.331,0.35,255.1,255.1,0.0,04:00,Feasible,255.1,15.53,Shift 35% of EV charging from 19:00 to off-peak hours 04:00.,Jayanagar at 19:00 is Critical because load reaches 133.1% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z006,Jayanagar,20,Critical,699.19,1594.58,1.292,0.35,244.72,244.72,0.0,"02:00, 00:00",Feasible,244.72,15.35,"Shift 35% of EV charging from 20:00 to off-peak hours 02:00, 00:00.",Jayanagar at 20:00 is Critical because load reaches 129.2% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z006,Jayanagar,21,Critical,800.41,1604.14,1.3,0.35,280.14,280.14,0.0,"03:00, 00:00",Feasible,280.14,17.46,"Shift 35% of EV charging from 21:00 to off-peak hours 03:00, 00:00.",Jayanagar at 21:00 is Critical because load reaches 130.0% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z006,Jayanagar,22,Critical,797.11,1629.17,1.32,0.35,278.99,278.99,0.0,"00:00, 01:00, 05:00, 04:00",Feasible,278.99,17.12,"Shift 35% of EV charging from 22:00 to off-peak hours 00:00, 01:00, 05:00, 04:00.",Jayanagar at 22:00 is Critical because load reaches 132.0% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z007,Hebbal,17,Critical,658.62,1843.29,1.059,0.35,230.52,230.52,0.0,01:00,Feasible,230.52,12.51,Shift 35% of EV charging from 17:00 to off-peak hours 01:00.,Hebbal at 17:00 is Critical because load reaches 105.9% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z007,Hebbal,18,Critical,693.18,1911.28,1.098,0.35,242.61,242.61,0.0,03:00,Feasible,242.61,12.69,Shift 35% of EV charging from 18:00 to off-peak hours 03:00.,Hebbal at 18:00 is Critical because load reaches 109.8% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z007,Hebbal,19,Critical,769.05,2006.65,1.153,0.35,269.17,269.17,0.0,04:00,Feasible,269.17,13.41,Shift 35% of EV charging from 19:00 to off-peak hours 04:00.,Hebbal at 19:00 is Critical because load reaches 115.3% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z007,Hebbal,20,Critical,747.78,2003.82,1.151,0.35,261.72,261.72,0.0,05:00,Feasible,261.72,13.06,Shift 35% of EV charging from 20:00 to off-peak hours 05:00.,Hebbal at 20:00 is Critical because load reaches 115.1% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z007,Hebbal,21,Critical,743.93,1977.99,1.136,0.35,260.38,260.38,0.0,00:00,Feasible,260.38,13.16,Shift 35% of EV charging from 21:00 to off-peak hours 00:00.,Hebbal at 21:00 is Critical because load reaches 113.6% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z007,Hebbal,22,Critical,739.57,1933.52,1.111,0.35,258.85,258.85,0.0,02:00,Feasible,258.85,13.39,Shift 35% of EV charging from 22:00 to off-peak hours 02:00.,Hebbal at 22:00 is Critical because load reaches 111.1% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z008,Yelahanka,17,Critical,724.28,1469.95,1.331,0.35,253.5,253.5,0.0,02:00,Feasible,253.5,17.25,Shift 35% of EV charging from 17:00 to off-peak hours 02:00.,Yelahanka at 17:00 is Critical because load reaches 133.1% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z008,Yelahanka,18,Critical,727.03,1520.79,1.378,0.35,254.46,254.46,0.0,03:00,Feasible,254.46,16.73,Shift 35% of EV charging from 18:00 to off-peak hours 03:00.,Yelahanka at 18:00 is Critical because load reaches 137.8% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z008,Yelahanka,19,Critical,771.58,1518.72,1.376,0.35,270.05,270.05,0.0,"04:00, 00:00",Feasible,270.05,17.78,"Shift 35% of EV charging from 19:00 to off-peak hours 04:00, 00:00.",Yelahanka at 19:00 is Critical because load reaches 137.6% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z008,Yelahanka,20,Critical,783.45,1585.73,1.436,0.35,274.21,274.21,0.0,"00:00, 05:00",Feasible,274.21,17.29,"Shift 35% of EV charging from 20:00 to off-peak hours 00:00, 05:00.",Yelahanka at 20:00 is Critical because load reaches 143.6% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z008,Yelahanka,21,Critical,784.26,1506.16,1.364,0.35,274.49,274.49,0.0,"01:00, 05:00",Feasible,274.49,18.22,"Shift 35% of EV charging from 21:00 to off-peak hours 01:00, 05:00.",Yelahanka at 21:00 is Critical because load reaches 136.4% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z008,Yelahanka,22,Critical,793.98,1554.01,1.408,0.35,277.89,62.56,215.33,"05:00, 02:00, 03:00",Partially Feasible,62.56,4.03,"Shift 35% of EV charging from 22:00 to off-peak hours 05:00, 02:00, 03:00.",Yelahanka at 22:00 is Critical because load reaches 140.8% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z009,BTM Layout,17,Critical,670.52,1253.08,1.196,0.35,234.68,234.68,0.0,04:00,Feasible,234.68,18.73,Shift 35% of EV charging from 17:00 to off-peak hours 04:00.,BTM Layout at 17:00 is Critical because load reaches 119.6% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z009,BTM Layout,18,Critical,674.16,1348.44,1.287,0.35,235.96,235.96,0.0,02:00,Feasible,235.96,17.5,Shift 35% of EV charging from 18:00 to off-peak hours 02:00.,BTM Layout at 18:00 is Critical because load reaches 128.7% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z009,BTM Layout,19,Critical,667.08,1281.08,1.222,0.35,233.48,233.48,0.0,01:00,Feasible,233.48,18.23,Shift 35% of EV charging from 19:00 to off-peak hours 01:00.,BTM Layout at 19:00 is Critical because load reaches 122.2% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z009,BTM Layout,20,Critical,686.83,1333.87,1.273,0.35,240.39,240.39,0.0,05:00,Feasible,240.39,18.02,Shift 35% of EV charging from 20:00 to off-peak hours 05:00.,BTM Layout at 20:00 is Critical because load reaches 127.3% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z009,BTM Layout,21,Critical,690.32,1358.13,1.296,0.35,241.61,241.61,0.0,03:00,Feasible,241.61,17.79,Shift 35% of EV charging from 21:00 to off-peak hours 03:00.,BTM Layout at 21:00 is Critical because load reaches 129.6% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z009,BTM Layout,22,Critical,643.51,1222.16,1.166,0.35,225.23,225.23,0.0,00:00,Feasible,225.23,18.43,Shift 35% of EV charging from 22:00 to off-peak hours 00:00.,BTM Layout at 22:00 is Critical because load reaches 116.6% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z010,Rajajinagar,17,Critical,660.7,2250.04,1.066,0.35,231.25,231.25,0.0,05:00,Feasible,231.25,10.28,Shift 35% of EV charging from 17:00 to off-peak hours 05:00.,Rajajinagar at 17:00 is Critical because load reaches 106.6% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z010,Rajajinagar,18,Critical,693.29,2241.41,1.062,0.35,242.65,242.65,0.0,04:00,Feasible,242.65,10.83,Shift 35% of EV charging from 18:00 to off-peak hours 04:00.,Rajajinagar at 18:00 is Critical because load reaches 106.2% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z010,Rajajinagar,19,Critical,744.75,2409.16,1.142,0.35,260.66,260.66,0.0,03:00,Feasible,260.66,10.82,Shift 35% of EV charging from 19:00 to off-peak hours 03:00.,Rajajinagar at 19:00 is Critical because load reaches 114.2% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z010,Rajajinagar,20,Critical,722.69,2351.84,1.115,0.35,252.94,252.94,0.0,00:00,Feasible,252.94,10.75,Shift 35% of EV charging from 20:00 to off-peak hours 00:00.,Rajajinagar at 20:00 is Critical because load reaches 111.5% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z010,Rajajinagar,21,Critical,703.66,2400.46,1.138,0.35,246.28,246.28,0.0,02:00,Feasible,246.28,10.26,Shift 35% of EV charging from 21:00 to off-peak hours 02:00.,Rajajinagar at 21:00 is Critical because load reaches 113.8% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z010,Rajajinagar,22,Critical,689.03,2418.2,1.146,0.35,241.16,241.16,0.0,05:00,Feasible,241.16,9.97,Shift 35% of EV charging from 22:00 to off-peak hours 05:00.,Rajajinagar at 22:00 is Critical because load reaches 114.6% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z011,Marathahalli,17,Critical,704.05,2162.34,1.024,0.35,246.42,246.42,0.0,04:00,Feasible,246.42,11.4,Shift 35% of EV charging from 17:00 to off-peak hours 04:00.,Marathahalli at 17:00 is Critical because load reaches 102.4% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z011,Marathahalli,20,Critical,739.27,2118.64,1.003,0.35,258.74,258.74,0.0,02:00,Feasible,258.74,12.21,Shift 35% of EV charging from 20:00 to off-peak hours 02:00.,Marathahalli at 20:00 is Critical because load reaches 100.3% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z011,Marathahalli,21,Critical,690.16,2157.03,1.021,0.35,241.56,241.56,0.0,00:00,Feasible,241.56,11.2,Shift 35% of EV charging from 21:00 to off-peak hours 00:00.,Marathahalli at 21:00 is Critical because load reaches 102.1% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z011,Marathahalli,22,Critical,652.09,2171.52,1.028,0.35,228.23,228.23,0.0,03:00,Feasible,228.23,10.51,Shift 35% of EV charging from 22:00 to off-peak hours 03:00.,Marathahalli at 22:00 is Critical because load reaches 102.8% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z011,Marathahalli,19,High,748.45,2104.88,0.997,0.25,187.11,187.11,0.0,05:00,Feasible,187.11,8.89,Shift 25% of EV charging from 19:00 to off-peak hours 05:00.,Marathahalli at 19:00 is High because load reaches 99.7% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z011,Marathahalli,18,High,744.97,2061.81,0.976,0.25,186.24,186.24,0.0,01:00,Feasible,186.24,9.03,Shift 25% of EV charging from 18:00 to off-peak hours 01:00.,Marathahalli at 18:00 is High because load reaches 97.6% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z012,Banashankari,17,Critical,668.75,1253.78,1.166,0.35,234.06,234.06,0.0,01:00,Feasible,234.06,18.67,Shift 35% of EV charging from 17:00 to off-peak hours 01:00.,Banashankari at 17:00 is Critical because load reaches 116.6% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z012,Banashankari,18,Critical,660.63,1244.32,1.158,0.35,231.22,231.22,0.0,00:00,Feasible,231.22,18.58,Shift 35% of EV charging from 18:00 to off-peak hours 00:00.,Banashankari at 18:00 is Critical because load reaches 115.8% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z012,Banashankari,19,Critical,649.91,1292.18,1.202,0.35,227.47,227.47,0.0,04:00,Feasible,227.47,17.6,Shift 35% of EV charging from 19:00 to off-peak hours 04:00.,Banashankari at 19:00 is Critical because load reaches 120.2% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z012,Banashankari,20,Critical,692.84,1324.51,1.232,0.35,242.49,242.49,0.0,05:00,Feasible,242.49,18.31,Shift 35% of EV charging from 20:00 to off-peak hours 05:00.,Banashankari at 20:00 is Critical because load reaches 123.2% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z012,Banashankari,21,Critical,707.4,1298.83,1.208,0.35,247.59,247.59,0.0,03:00,Feasible,247.59,19.06,Shift 35% of EV charging from 21:00 to off-peak hours 03:00.,Banashankari at 21:00 is Critical because load reaches 120.8% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z012,Banashankari,22,Critical,673.22,1255.26,1.168,0.35,235.63,235.63,0.0,02:00,Feasible,235.63,18.77,Shift 35% of EV charging from 22:00 to off-peak hours 02:00.,Banashankari at 22:00 is Critical because load reaches 116.8% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z013,HSR Layout,17,Critical,851.44,2233.47,1.29,0.35,298.0,298.0,0.0,00:00,Feasible,298.0,13.34,Shift 35% of EV charging from 17:00 to off-peak hours 00:00.,HSR Layout at 17:00 is Critical because load reaches 129.0% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z013,HSR Layout,18,Critical,843.84,2081.38,1.202,0.35,295.34,295.34,0.0,04:00,Feasible,295.34,14.19,Shift 35% of EV charging from 18:00 to off-peak hours 04:00.,HSR Layout at 18:00 is Critical because load reaches 120.2% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z013,HSR Layout,19,Critical,879.47,2237.61,1.293,0.35,307.81,307.81,0.0,03:00,Feasible,307.81,13.76,Shift 35% of EV charging from 19:00 to off-peak hours 03:00.,HSR Layout at 19:00 is Critical because load reaches 129.3% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z013,HSR Layout,20,Critical,843.28,2049.81,1.184,0.35,295.15,295.15,0.0,05:00,Feasible,295.15,14.4,Shift 35% of EV charging from 20:00 to off-peak hours 05:00.,HSR Layout at 20:00 is Critical because load reaches 118.4% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z013,HSR Layout,21,Critical,894.68,2254.19,1.302,0.35,313.14,313.14,0.0,02:00,Feasible,313.14,13.89,Shift 35% of EV charging from 21:00 to off-peak hours 02:00.,HSR Layout at 21:00 is Critical because load reaches 130.2% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z013,HSR Layout,22,Critical,869.27,2104.93,1.216,0.35,304.24,304.24,0.0,01:00,Feasible,304.24,14.45,Shift 35% of EV charging from 22:00 to off-peak hours 01:00.,HSR Layout at 22:00 is Critical because load reaches 121.6% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z014,KR Puram,18,High,679.16,2090.96,0.999,0.25,169.79,169.79,0.0,01:00,Feasible,169.79,8.12,Shift 25% of EV charging from 18:00 to off-peak hours 01:00.,KR Puram at 18:00 is High because load reaches 99.9% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z014,KR Puram,20,High,672.09,2087.81,0.997,0.25,168.02,168.02,0.0,02:00,Feasible,168.02,8.05,Shift 25% of EV charging from 20:00 to off-peak hours 02:00.,KR Puram at 20:00 is High because load reaches 99.7% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z014,KR Puram,19,High,704.68,2017.73,0.964,0.25,176.17,176.17,0.0,05:00,Feasible,176.17,8.73,Shift 25% of EV charging from 19:00 to off-peak hours 05:00.,KR Puram at 19:00 is High because load reaches 96.4% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z014,KR Puram,21,High,634.48,1964.11,0.938,0.25,158.62,158.62,0.0,03:00,Feasible,158.62,8.08,Shift 25% of EV charging from 21:00 to off-peak hours 03:00.,KR Puram at 21:00 is High because load reaches 93.8% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z014,KR Puram,17,High,657.52,1931.67,0.922,0.25,164.38,164.38,0.0,01:00,Feasible,164.38,8.51,Shift 25% of EV charging from 17:00 to off-peak hours 01:00.,KR Puram at 17:00 is High because load reaches 92.2% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z014,KR Puram,22,High,626.68,1919.8,0.917,0.25,156.67,156.67,0.0,04:00,Feasible,156.67,8.16,Shift 25% of EV charging from 22:00 to off-peak hours 04:00.,KR Puram at 22:00 is High because load reaches 91.7% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z015,Malleshwaram,17,Critical,741.44,1656.76,1.025,0.35,259.5,259.5,0.0,02:00,Feasible,259.5,15.66,Shift 35% of EV charging from 17:00 to off-peak hours 02:00.,Malleshwaram at 17:00 is Critical because load reaches 102.5% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z015,Malleshwaram,19,Critical,727.03,1684.61,1.042,0.35,254.46,254.46,0.0,05:00,Feasible,254.46,15.1,Shift 35% of EV charging from 19:00 to off-peak hours 05:00.,Malleshwaram at 19:00 is Critical because load reaches 104.2% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z015,Malleshwaram,21,Critical,732.91,1634.21,1.011,0.35,256.52,256.52,0.0,01:00,Feasible,256.52,15.7,Shift 35% of EV charging from 21:00 to off-peak hours 01:00.,Malleshwaram at 21:00 is Critical because load reaches 101.1% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z015,Malleshwaram,22,Critical,731.17,1669.96,1.033,0.35,255.91,255.91,0.0,00:00,Feasible,255.91,15.32,Shift 35% of EV charging from 22:00 to off-peak hours 00:00.,Malleshwaram at 22:00 is Critical because load reaches 103.3% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z015,Malleshwaram,18,High,719.83,1566.52,0.969,0.25,179.96,179.96,0.0,03:00,Feasible,179.96,11.49,Shift 25% of EV charging from 18:00 to off-peak hours 03:00.,Malleshwaram at 18:00 is High because load reaches 96.9% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
